contrast,feature,group_mean,control_mean,mean_difference,cohen_d_group_minus_control,mannwhitney_p
alzheimer_minus_control,alpha_Pi,0.4874707407407407,0.592287356321839,-0.10481661558109834,-0.6659538225496079,0.005470725497283342
alzheimer_minus_control,alpha_R,0.13233897925110696,0.15332648917389918,-0.02098750992279222,-0.9539713902721176,0.0002633519811343263
alzheimer_minus_control,alpha_D,3.248146874607656,2.7690985481722366,0.4790483264354193,0.9061485748676485,0.00023756370229982267
alzheimer_minus_control,alpha_M,0.004814146771260792,0.004441864232771477,0.00037228253848931546,0.2086631976124034,0.48017045903382194
alzheimer_minus_control,gamma_Pi,0.6444974074074074,0.5803691954022989,0.06412821200510843,0.3265640377768926,0.10314294069523382
alzheimer_minus_control,gamma_R,0.1785998828836543,0.15841604917684748,0.02018383370680682,0.49969291381778946,0.0319945367764329
alzheimer_minus_control,gamma_D,4.681462005782027,5.030656136901958,-0.3491941311199307,-0.4988931082036591,0.04557437457856977
alzheimer_minus_control,gamma_M,0.00794621321607281,0.006680855416441583,0.0012653577996312266,0.43799473839755576,0.0319945367764329
frontotemporal_minus_control,alpha_Pi,0.48435652173913046,0.592287356321839,-0.10793083458270858,-0.5887533313841807,0.046610901235207634
frontotemporal_minus_control,alpha_R,0.14185730664214452,0.15332648917389918,-0.011469182531754663,-0.4796666804214699,0.14049778933012516
frontotemporal_minus_control,alpha_D,3.2496428552877066,2.7690985481722366,0.48054430711547,0.8630467740752062,0.0012630599343683453
frontotemporal_minus_control,alpha_M,0.00474552253174936,0.004441864232771477,0.0003036582989778833,0.17874859287129902,0.4500125110071381
frontotemporal_minus_control,gamma_Pi,0.5078915942028985,0.5803691954022989,-0.07247760119940039,-0.2935573170104311,0.6583575447471695
frontotemporal_minus_control,gamma_R,0.19046960592969633,0.15841604917684748,0.03205355675284885,0.7078153343165191,0.012221004526993163
frontotemporal_minus_control,gamma_D,5.031553743728014,5.030656136901958,0.0008976068260562187,0.0009347493621859699,0.868299997559508
frontotemporal_minus_control,gamma_M,0.008511256918455916,0.006680855416441583,0.0018304015020143326,0.611691523312647,0.012221004526993163
