t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,dataset,subject,condition,filename,band,run,eyes
52.636,0.25427781350313045,86.80225314759954,0.0048734110305553874,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
54.14,0.32828150796797984,86.95719832237991,0.0036567899000258005,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
55.644,0.37959568706964425,87.04090418185683,0.0058996077991154364,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
57.148,0.4271891087635757,87.06023081453367,0.00821650208547422,True,False,False,0.3333333333333333,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
58.652,0.4591570711199878,87.23537746479457,0.005621829655494256,True,False,True,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
60.156,0.451717490742549,87.22317677221102,0.002514276221297954,True,False,False,0.3333333333333333,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
61.66,0.38625938502332635,87.00890106428447,0.0016766341431540587,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
63.164,0.33829354581680493,86.96244357073007,0.0026912305722387995,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
64.668,0.23332642026267053,86.6607029738941,0.002836362342822111,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
66.172,0.28428474179459945,86.70129718599954,0.0027104377846399017,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
67.676,0.35187261284553856,86.7600590639746,0.0036499873219462153,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
69.18,0.3608345881082701,86.95137822897281,0.003558078448599364,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
70.684,0.24230677498925984,86.74634244933958,0.003888323476557004,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
72.188,0.2368804706483345,86.67980126388339,0.007931038108449903,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
