dataset,band,target,n,baseline_mean,target_mean,mean_delta_baseline_minus_target,paired_d,wilcoxon_greater_p
Chennu,alpha,moderate,20,0.8275862068965516,0.7373563218390804,0.09022988505747127,1.0237882733839554,0.00044543891407937826
DS005620,alpha,sed,20,0.8275862068965516,0.721455938697318,0.1061302681992337,0.6036644941173385,0.004154205322265625
DS005620,alpha,sed2,20,0.8275862068965516,0.7372866287339972,0.09029957816255453,0.5232289097814798,0.013796974603485463
FarnesKetamine,alpha,ketamine,10,0.831339908110445,0.7851785746423011,0.04616133346814383,0.7963837235877711,0.0244140625
Chennu,gamma,moderate,20,0.8275862068965516,0.7652298850574712,0.06235632183908044,0.8488035930526006,0.0009233153853727428
DS005620,gamma,sed,20,0.8275862068965516,0.660308908045977,0.16727729885057468,1.7287745251238695,9.5367431640625e-07
DS005620,gamma,sed2,20,0.8275862068965516,0.6975225225225226,0.13006368437402913,1.2457497489825717,9.5367431640625e-07
FarnesKetamine,gamma,ketamine,10,0.8304302807863821,0.77235775532481,0.05807252546157221,0.5954305765968325,0.0244140625
