dataset,band,target,n,baseline_mean,target_mean,mean_delta_baseline_minus_target,delta_ci_low,delta_ci_high,paired_d,ttest_p,wilcoxon_greater_p
Chennu,alpha,moderate,20,0.8275862068965516,0.5968390804597702,0.23074712643678166,0.13790948275862075,0.3198347701149425,1.0573007988810939,0.0001462485766709624,8.392333984375e-05
DS005620,alpha,sed,20,0.8275862068965518,0.5939655172413794,0.23362068965517246,0.15617696360153258,0.3101281130268198,1.2544916500240382,2.0729089162124496e-05,2.384185791015625e-05
DS005620,alpha,sed2,20,0.8275862068965518,0.6240358779832463,0.2035503289133053,0.12495462794918326,0.2836819078606736,1.0387685575686636,0.0001763414737100336,0.00013065338134765625
Chennu,gamma,moderate,20,0.8275862068965516,0.3649425287356321,0.4626436781609195,0.37441810344827586,0.5410919540229885,2.365977976333778,2.1031842088739273e-09,1.9073486328125e-06
DS005620,gamma,sed,20,0.8275862068965516,0.38884099616858236,0.43874521072796924,0.34571479885057477,0.5314786877394635,1.986259273840193,3.422768693270643e-08,1.9073486328125e-06
DS005620,gamma,sed2,20,0.8275862068965516,0.43206100837679795,0.3955251985197538,0.30534650008447645,0.4818538297825955,1.8842995343157156,7.678425414432145e-08,9.5367431640625e-07
