subject,channel_set,R_min,D_min,D_max,M_min,M_max
1010,all_eeg,0.1182136487832279,3.705517403831902,4.933208452976775,0.0033003338226756467,0.004657303987611135
1010,centro_posterior,0.4532265860780729,2.6120456307045647,3.3115742896858293,0.035563483135674104,0.047601849580797245
1010,frontotemporal,0.37819581883183007,3.7913456350865498,4.610227537088732,0.020859084018138116,0.026342996900409088
1010,posterior,0.5970752523699555,2.1602599971268903,2.6168168452798355,0.04533007752409076,0.05779107407481163
1016,all_eeg,0.07907172266112827,3.92211824942259,4.906975599521353,0.0016271539548253894,0.0027363612215906964
1016,centro_posterior,0.3770753636636207,2.534877730888252,2.9960591697177748,0.0274090522422723,0.035079737945211444
1016,frontotemporal,0.3082982532531958,3.2935265174626127,4.683219266704243,0.017503969238869856,0.02369703707145311
1016,posterior,0.5333246088907502,2.3923427672076154,2.983050954379688,0.04503448408769475,0.05754563079371807
1017,all_eeg,0.07631042657742704,4.478647251061444,5.429872293783888,0.0015767857319886234,0.002264929079766489
1017,centro_posterior,0.3968691518696958,3.1317999272305723,3.688196845768314,0.02829672244948132,0.0372079622239087
1017,frontotemporal,0.3856414693893058,3.9570155584140334,4.7497479441567005,0.024250702218745247,0.031004550875943216
1017,posterior,0.5711874897953676,1.5997583645765971,1.9476298469478242,0.044374915398990994,0.05563722680271032
1022,all_eeg,0.08496692252811691,4.47565894585517,5.11622482901155,0.0017698304017135507,0.002655026108018451
1022,centro_posterior,0.38193375688130693,3.199243818923863,3.638685213776183,0.02740378596812338,0.03531399287875128
1022,frontotemporal,0.3480419426248336,3.8638393426163544,4.384278445696651,0.019213317906041173,0.0254852757412277
1022,posterior,0.5597026002018718,2.3788536005505034,2.7907834072802276,0.04345197548196562,0.05522693956119506
1024,all_eeg,0.08040474741473008,3.684787926014966,4.470779808205416,0.0016926260853930178,0.0022231997254903804
1024,centro_posterior,0.3865708041580119,2.188003212487604,2.7300425819249914,0.02555278626396955,0.03481228964770869
1024,frontotemporal,0.3648864876899286,3.595442323464748,4.133029632291643,0.023143716895461575,0.02954592254486773
1024,posterior,0.5799755734138606,1.6502425101860523,1.9642503793816777,0.042034759792945305,0.05484171655769507
1033,all_eeg,0.10328590559325453,2.210195235005206,4.522916591948553,0.004036436719613345,0.01565718980992591
1033,centro_posterior,0.35891094937071477,3.186262054821801,4.05161007322976,0.025841570086950875,0.033953870891038504
