channel_set,comparison,n,spearman_r_delta_pi_delta_hf,spearman_p,delta_pi_mean,delta_hf_mean
all_eeg,awake_vs_sed,20,-0.3488721804511278,0.13166317155695242,0.29748934529731075,0.02227785933134283
all_eeg,awake_vs_sed2,20,0.13984962406015036,0.5564935505662203,0.2887136638526849,0.023261870414627014
centro_posterior,awake_vs_sed,20,-0.08048138967046659,0.7358936167877855,0.2086060104121234,0.010200047128257863
centro_posterior,awake_vs_sed2,20,0.21654135338345865,0.35914578257040025,0.20356319917428184,0.008427311339124464
frontotemporal,awake_vs_sed,20,-0.04060150375939849,0.8650468790077723,0.2084290990589231,0.034213799732410836
frontotemporal,awake_vs_sed2,20,0.08120300751879699,0.733607630478017,0.20295963874413184,0.03633947423760718
posterior,awake_vs_sed,20,0.12180451127819547,0.608956622164901,0.21022002022310765,-0.0026146054174844514
posterior,awake_vs_sed2,20,0.16691729323308271,0.4818249184315467,0.21964455769301994,-0.0021628997327246243
