channel_set,comparison,metric,n,awake_mean,target_mean,mean_diff_awake_minus_target,paired_d,p,auc_awake_vs_target
all_eeg,awake_vs_sed,Pi,20,0.6624472573839664,0.3649579120866555,0.29748934529731075,2.1330035031870187,1.1193208526537747e-08,1.0
all_eeg,awake_vs_sed,Access_all,20,0.31645569620253167,0.048241912798874825,0.2682137834036568,4.179381127418316,1.0863689870817818e-13,1.0
all_eeg,awake_vs_sed,R,20,0.13866370826817462,0.14725058802424956,-0.008586879756074908,-0.0723394472692353,0.7498413897422597,0.5275
all_eeg,awake_vs_sed,D_eff,20,5.053565564017537,5.138844875086816,-0.08527931106927737,-0.024315065198461383,0.9145486924151216,0.6975
all_eeg,awake_vs_sed,M_tau,20,0.004361729633660648,0.005561753297703922,-0.0012000236640432745,-0.1922984186013692,0.40051895087848094,0.475
all_eeg,awake_vs_sed,gamma_rel_power,20,0.022814778414589336,0.007883179609647812,0.014931598804941524,0.8554217129466832,0.0011412013014863737,0.855
all_eeg,awake_vs_sed,hf_rel_power,20,0.043385954204783764,0.02110809487344093,0.02227785933134283,0.5397983781788639,0.02603223728509885,0.6825000000000001
all_eeg,awake_vs_sed2,Pi,20,0.6624472573839664,0.3737335935312814,0.2887136638526849,1.9215867133438966,5.696666280324951e-08,1.0
all_eeg,awake_vs_sed2,Access_all,20,0.31645569620253167,0.04971509971509971,0.2667405964874319,3.477098616177446,2.916315027854611e-12,1.0
all_eeg,awake_vs_sed2,R,20,0.13866370826817462,0.17509244285823758,-0.03642873459006295,-0.2496508689591762,0.2781408560025512,0.52
all_eeg,awake_vs_sed2,D_eff,20,5.053565564017537,4.8348635389545525,0.2187020250629846,0.19753020853857037,0.3880710644272118,0.5525
all_eeg,awake_vs_sed2,M_tau,20,0.004361729633660648,0.006468901564741751,-0.0021071719310811034,-0.39281391666707344,0.09507083049215875,0.42749999999999994
all_eeg,awake_vs_sed2,gamma_rel_power,20,0.022814778414589336,0.006227505476838215,0.01658727293775112,0.9826920080379024,0.0003114279236546456,0.8875
all_eeg,awake_vs_sed2,hf_rel_power,20,0.043385954204783764,0.020124083790156747,0.023261870414627014,0.6250088369686342,0.011545614872749695,0.7275
