dataset,subject,condition,band,filename,run,source,metric,first,second,eyes,recording
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,Pi,0.8735632183908046,0.6666666666666665,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,R,0.16551566475365312,0.1552802826402454,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,D_eff,5.759469184055342,4.90896351650384,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,M_tau,0.0038249209527999933,0.002703001456672068,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,Pi,0.7816091954022989,0.8735632183908045,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,R,0.14859447168370324,0.1422122726661705,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,D_eff,5.556383821900735,5.967025187245906,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,M_tau,0.0031576196398763866,0.0029222261232521108,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,Pi,0.8160919540229886,0.6896551724137929,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,R,0.1420686448732461,0.1283461146251577,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,D_eff,6.174684957874017,7.393075719047646,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,M_tau,0.003075831874170838,0.003372498301359968,,
Chennu,6,moderate,alpha,06-2010-anest 20100224 093.013.set,,phase_only,Pi,0.41379310344827586,0.5402298850574713,,
Chennu,6,moderate,alpha,06-2010-anest 20100224 093.013.set,,phase_only,R,0.10461354566955296,0.11228860408445808,,
Chennu,6,moderate,alpha,06-2010-anest 20100224 093.013.set,,phase_only,D_eff,7.801311601402094,7.477056922561938,,
Chennu,6,moderate,alpha,06-2010-anest 20100224 093.013.set,,phase_only,M_tau,0.0025129340100857453,0.0028764426272324026,,
Chennu,6,recovery,alpha,06-2010-anest 20100224 093.026.set,,phase_only,Pi,0.8275862068965517,0.8850574712643678,,
Chennu,6,recovery,alpha,06-2010-anest 20100224 093.026.set,,phase_only,R,0.1571582626179548,0.15409431117187,,
Chennu,6,recovery,alpha,06-2010-anest 20100224 093.026.set,,phase_only,D_eff,5.763366019772256,6.300900715538391,,
Chennu,6,recovery,alpha,06-2010-anest 20100224 093.026.set,,phase_only,M_tau,0.003111761782331986,0.0033477983903670307,,
Chennu,7,baseline,alpha,07-2010-anest 20100226 133.003.set,,phase_only,Pi,0.8620689655172413,0.7931034482758621,,
Chennu,7,baseline,alpha,07-2010-anest 20100226 133.003.set,,phase_only,R,0.11080330037115783,0.08957364423479947,,
Chennu,7,baseline,alpha,07-2010-anest 20100226 133.003.set,,phase_only,D_eff,8.883297044925708,10.240761231368817,,
Chennu,7,baseline,alpha,07-2010-anest 20100226 133.003.set,,phase_only,M_tau,0.002717792240406434,0.0021318085136370134,,
Chennu,7,mild,alpha,07-2010-anest 20100226 133.008.set,,phase_only,Pi,0.8505747126436781,0.8390804597701149,,
Chennu,7,mild,alpha,07-2010-anest 20100226 133.008.set,,phase_only,R,0.09128885774167318,0.08915916443742201,,
