scope,source,band,metric,n,pearson_r,spearman_rho,icc_3_1,mean_abs_delta,mean_signed_delta_second_minus_first
split_half,phase_only,alpha,D_eff,206,0.8574893942116162,0.8496569853836994,0.8569852718394317,0.5363687965915707,0.04362470163533154
split_half,phase_only,alpha,M_tau,206,0.5720421710198316,0.7027664240340167,0.45917649449123615,0.001684623346236666,0.0008052750708878037
split_half,phase_only,alpha,Pi,206,0.8571306792216989,0.7924432005887099,0.8555165338937041,0.0808697663885936,0.0034400204655521374
split_half,phase_only,alpha,R,206,0.7832823988918913,0.8794029932701184,0.7707414074450157,0.014806992405870252,0.0017459959356465103
split_half,phase_only,gamma,D_eff,206,0.9372169471430023,0.9304732194641491,0.9344873866986156,0.5674195041680908,0.09224765367176466
split_half,phase_only,gamma,M_tau,206,0.7707830193575619,0.7969655475364378,0.7041500357004277,0.0015272149616180277,0.00045945544643568204
split_half,phase_only,gamma,Pi,206,0.9249968056478107,0.9071083361579055,0.9222773497464039,0.0761779765598947,-0.019621494964208126
split_half,phase_only,gamma,R,206,0.8906045192902117,0.8431721387707756,0.8658994431252868,0.01023778907434015,0.0007125970541340525
split_half,csd_phase_only,alpha,D_eff,206,0.9407716008044448,0.9227432932835027,0.8233927495613333,0.985451946468836,0.2293970120170688
split_half,csd_phase_only,alpha,M_tau,206,0.9609191281148657,0.9531537096713305,0.9608441304737293,0.0016455166943046197,-5.527608172185195e-05
split_half,csd_phase_only,alpha,Pi,206,0.9067958007728472,0.8265303150659524,0.9057958607259353,0.07568722097249224,0.008489598526689087
split_half,csd_phase_only,alpha,R,206,0.9735375174060114,0.9714839714880896,0.9717651256039889,0.018436422118368115,-0.002942407782128447
split_half,csd_phase_only,gamma,D_eff,206,0.9594434482568689,0.9622440259860597,0.9592433917884783,0.9698986344249177,0.08834630247541832
split_half,csd_phase_only,gamma,M_tau,206,0.9735165757379565,0.9571785975352367,0.9726727785902874,0.0009040960575698474,0.00012400817791336893
split_half,csd_phase_only,gamma,Pi,206,0.925759195362482,0.8744950842795357,0.9257078363551142,0.07286933273555127,-0.002168550724353941
split_half,csd_phase_only,gamma,R,206,0.9779122556357962,0.9673780916787639,0.9770129571952048,0.009609488351892398,0.0018893920288130532
split_half,ketamine_phase_only,alpha,D_eff,39,0.9553858181578015,0.9455465587044536,0.9543893276298137,0.43670432408550103,-0.03433871104592663
split_half,ketamine_phase_only,alpha,M_tau,39,0.7675093752412072,0.7716599190283401,0.7661228277684508,0.0004088523960281482,2.2321830184884117e-05
split_half,ketamine_phase_only,alpha,Pi,39,0.6026328861908843,0.5098060980686058,0.5676928115842946,0.06166032066538239,-0.015757260085045084
split_half,ketamine_phase_only,alpha,R,39,0.9152212852345609,0.8900809716599191,0.9128063773816656,0.009734653567446332,-0.002096964212241254
split_half,ketamine_phase_only,gamma,D_eff,39,0.9710784182605798,0.959919028340081,0.9708522905948468,0.5438657663886434,0.057494342643622944
split_half,ketamine_phase_only,gamma,M_tau,39,0.9128911548299545,0.7653846153846154,0.9126536727983664,0.0004641895774335163,-1.0542251659127834e-05
split_half,ketamine_phase_only,gamma,Pi,39,0.6011181332450792,0.4914945347188416,0.5836963700548375,0.09226117100628246,-0.023225108792783267
split_half,ketamine_phase_only,gamma,R,39,0.9234292792786122,0.8390688259109311,0.921596983790461,0.007566307124381993,-0.0007725418594070258
run1_vs_run2_sed,phase_only,alpha,Pi,20,0.755743969555788,0.6696766380343149,0.7062344702355204,0.10316091954022985,-0.06522988505747125
run1_vs_run2_sed,phase_only,alpha,R,20,0.5748066588227824,0.5593984962406015,0.34728969858985065,0.027393894252547478,0.0028715226716636124
run1_vs_run2_sed,phase_only,alpha,D_eff,20,0.5894807848985041,0.4947368421052631,0.4812396931686479,0.9039893729039002,0.45834872620873995
run1_vs_run2_sed,phase_only,alpha,M_tau,20,-0.02629450162110719,0.4526315789473684,-0.02425365570824871,0.00382416689520184,0.0013490029510690499
run1_vs_run2_sed2,phase_only,alpha,Pi,18,0.8287903785485781,0.7774910690215087,0.8252562605835714,0.0901559454191033,0.01900584795321635
run1_vs_run2_sed2,phase_only,alpha,R,18,0.677880907371564,0.6243550051599587,0.6299073352171339,0.013052394944446733,-0.003275785019725823
run1_vs_run2_sed2,phase_only,alpha,D_eff,18,0.37696661559468203,0.5190918472652218,0.32508292159823127,0.8108226576522548,0.2979480222994971
run1_vs_run2_sed2,phase_only,alpha,M_tau,18,0.711914666232736,0.7481940144478844,0.5825379690404988,0.0015919238638839224,0.0008216458254346113
