variant_id,variant_label,graph_type,control_id,replicate,K,n_nodes_lcc,n_edges,backbone_nodes,seed,baseline_R_global,baseline_R_backbone,baseline_R_complement,baseline_A_R,baseline_M_tau,baseline_D_eff,baseline_D_eff_norm,baseline_window_start_s,baseline_window_stop_s,event_R_global,event_R_backbone,event_R_complement,event_A_R,event_M_tau,event_D_eff,event_D_eff_norm,event_window_start_s,event_window_stop_s,delta_R_global,delta_R_backbone,delta_R_complement,delta_A_R,delta_M_tau,delta_D_eff,delta_D_eff_norm,Xi_baseline,Xi_event,delta_Xi
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,0,1.6,912,7091,91,20262026,0.03239573910832405,0.09002856910228729,0.031013472005724907,0.059015098959207535,3.597847171477042e-05,2.850999952624331,0.0031260964392810643,2.0,4.48,0.08398302644491196,0.200219988822937,0.07998126745223999,0.12023870646953583,0.0005754440207965672,3.142623648861877,0.003445859264102935,5.0,8.0,0.051587287336587906,0.11019141972064972,0.04896779544651508,0.06122360751032829,0.0005394655490817968,0.29162369623754625,0.00031976282482187087,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,1,1.6,912,7091,91,20262027,0.052743274718523026,0.07239828258752823,0.054900702089071274,0.017497580498456955,2.500000482541509e-05,2.803049342258752,0.0030735190156345967,2.0,4.48,0.023131417110562325,0.07909636944532394,0.021491581574082375,0.057604797184467316,3.1728704925626516e-05,3.079402673170514,0.003376538018827318,5.0,8.0,-0.0296118576079607,0.006698086857795715,-0.0334091205149889,0.04010721668601036,6.728700100211427e-06,0.27635333091176184,0.0003030190031927211,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,2,1.6,912,7091,91,20262028,0.04819609969854355,0.10162784904241562,0.0431702584028244,0.05845759063959122,1.912807420012541e-05,2.8766905321139697,0.003154265934335493,2.0,4.48,0.026571938768029213,0.055395420640707016,0.0296699907630682,0.025725433602929115,1.6429707102361135e-05,3.1810711582592557,0.0034880166208983068,5.0,8.0,-0.021624160930514336,-0.0462324284017086,-0.013500267639756203,-0.0327321570366621,-2.698367097764276e-06,0.30438062614528594,0.0003337506865628138,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,3,1.6,912,7091,91,20262029,0.04906034469604492,0.16098420321941376,0.04028991609811783,0.12069427222013474,0.00024251568538602442,2.7977406017705735,0.003067698028257208,2.0,4.48,0.031984616070985794,0.11102288961410522,0.028769928961992264,0.08225295692682266,6.769594619981945e-05,3.0880724638856627,0.003386044368295683,5.0,8.0,-0.017075728625059128,-0.04996131360530853,-0.011519987136125565,-0.03844131529331207,-0.00017481973918620497,0.2903318621150892,0.000318346340038475,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,4,1.6,912,7091,91,20262030,0.02137230709195137,0.09997837245464325,0.015688525512814522,0.08428983390331268,0.00012143362982897088,2.8926515258225245,0.003171767023928207,2.0,4.48,0.024861102923750877,0.09019674360752106,0.03655029833316803,0.05364643782377243,1.0805780220835004e-05,3.141762886356222,0.003444915445566033,5.0,8.0,0.003488795831799507,-0.009781628847122192,0.020861772820353508,-0.030643396079540253,-0.00011062784960813588,0.24911136053369765,0.0002731484216378262,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,5,1.6,912,7091,91,20262031,0.01715996488928795,0.08597923815250397,0.02190149575471878,0.06407774239778519,0.00011265492503298447,2.897891353195791,0.003177512448679595,2.0,4.48,0.020066024735569954,0.1513543277978897,0.011767249554395676,0.13958707451820374,2.2100401110947132e-05,3.1637487502880144,0.003469022752508788,5.0,8.0,0.0029060598462820053,0.06537508964538574,-0.010134246200323105,0.07550933212041855,-9.055452392203733e-05,0.26585739709222356,0.00029151030382919274,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,6,1.6,912,7091,91,20262032,0.01996251940727234,0.09818638116121292,0.017708847299218178,0.08047753572463989,5.640103609039215e-06,2.8092181561575753,0.0030802830659622535,2.0,4.48,0.049776703119277954,0.227805495262146,0.032744865864515305,0.1950606256723404,3.985635339631699e-05,3.042236248739869,0.003335785360460383,5.0,8.0,0.029814183712005615,0.12961911410093307,0.015036018565297127,0.1145830899477005,3.4216249787277775e-05,0.23301809258229378,0.00025550229449812934,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,7,1.6,912,7091,91,20262033,0.07638883590698242,0.24062027037143707,0.05869688466191292,0.18192337453365326,9.841435530688614e-05,2.822831911098128,0.0030952104288356668,2.0,4.48,0.04848785698413849,0.2852689325809479,0.02679557166993618,0.25847336649894714,7.481772627215832e-05,3.159599482892566,0.003464473117206761,5.0,8.0,-0.027900978922843933,0.0446486622095108,-0.03190131299197674,0.07654999196529388,-2.3596629034727812e-05,0.33676757179443806,0.00036926268837109404,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,8,1.6,912,7091,91,20262034,0.028017558157444,0.08122115582227707,0.027361398562788963,0.053859759122133255,0.0001654535299167037,2.8255294881968047,0.0030981682984614085,2.0,4.48,0.02293555624783039,0.182977557182312,0.036105718463659286,0.14687182009220123,8.173365495167673e-05,3.0802702885272684,0.003377489351455338,5.0,8.0,-0.005082001909613609,0.10175640136003494,0.008744319900870323,0.09301206097006798,-8.371987496502697e-05,0.25474080033046365,0.00027932105299392947,2.6000000000000005,8.233333333333329,5.633333333333328
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,9,1.6,912,7091,91,20262035,0.029927244409918785,0.09867177903652191,0.033357203006744385,0.06531456112861633,0.0003334969806019217,2.813383994437095,0.0030848508710933057,2.0,4.48,0.0513090044260025,0.1882495880126953,0.03701402619481087,0.15123556554317474,0.0001400733453920111,3.069727958653211,0.003365929779225012,5.0,8.0,0.021381760016083717,0.0895778089761734,0.0036568231880664825,0.08592100441455841,-0.00019342363520991057,0.25634396421611605,0.00028107890813170626,2.6000000000000005,8.233333333333329,5.633333333333328
