subject,run,phase,window_start_tr,window_stop_tr,window_start_sec,window_stop_sec,fd_mean,fd_max,valid_fraction,R_phase,D_eff,M_tau,mean_fc,mean_abs_fc,inside_baseline_regime
sub-02,1,Base1,0,75,0.0,60.0,0.1368046504506665,0.283664148,1.0,0.36460032237448947,0.023167447715191143,0.18049333187541758,0.2284137561327829,0.34226174504916806,True
sub-02,1,Base1,19,94,15.200000000000001,75.2,0.13349358395999983,0.283664148,1.0,0.35087118674077106,0.02352438986200573,0.1669642001870312,0.20585290920770072,0.3389739656864653,True
sub-02,1,Base1,38,113,30.400000000000002,90.4,0.13545952093333333,0.3021101930000001,1.0,0.3167513124895957,0.02376743525320678,0.1990406207161083,0.2008377851452272,0.3377975938112187,True
sub-02,1,Base1,57,132,45.6,105.60000000000001,0.14117984435999997,0.3021101930000001,1.0,0.36003471360911904,0.02159702506435118,0.2022734823369791,0.26613053918712387,0.35792082557405586,True
sub-02,1,Base1,76,151,60.800000000000004,120.80000000000001,0.13259443689333344,0.3021101930000001,1.0,0.37023155266130897,0.019527294934481534,0.2224165065904401,0.29436980949139874,0.38111822356674463,False
sub-02,1,Base1,95,170,76.0,136.0,0.13259980926666678,0.3021101930000001,1.0,0.36767462775605236,0.019669248668817706,0.21492151861121112,0.2979986579649304,0.38001357354823284,False
sub-02,1,Base1,114,189,91.2,151.20000000000002,0.1239930944813333,0.2997751,1.0,0.3553678136744254,0.019206050711727252,0.23487380989291645,0.3017443234673346,0.3858809102172201,False
sub-02,1,Base1,133,208,106.4,166.4,0.12066011082799982,0.2997751,1.0,0.35152180044527814,0.025289181879074474,0.17519805356804274,0.2083966930498161,0.3279523334279228,True
sub-02,1,Base1,152,227,121.60000000000001,181.60000000000002,0.12119428982799997,0.2997751,1.0,0.40633215263114086,0.0180673367415224,0.2037439290252954,0.28678201411251975,0.3963015113950497,True
sub-02,1,Base1,171,246,136.8,196.8,0.12231375102799996,0.2997751,1.0,0.4276818351600719,0.019037491085882496,0.17869653906540436,0.28276207846137036,0.3855851572257167,True
sub-02,1,Base1,190,265,152.0,212.0,0.1262881976533333,0.2810848299999999,1.0,0.43578694239674043,0.020236035826660965,0.1651933330383168,0.26966663878102803,0.37149023884626087,True
sub-02,1,Base1,209,284,167.20000000000002,227.20000000000002,0.13051698152000007,0.2810848299999999,1.0,0.37231001629898397,0.025177033376950042,0.12311487285288862,0.1772310769647296,0.3272322494132332,True
sub-02,1,Base1,228,303,182.4,242.4,0.12834271687999996,0.2980743,1.0,0.3167087057720425,0.025010485627561512,0.13101728041073546,0.14693163806338225,0.3275564574001185,True
sub-02,1,Base1,247,322,197.60000000000002,257.6,0.12388630939999996,0.2980743,1.0,0.3334617697345605,0.025015616778568416,0.14385473135064417,0.15620576406873532,0.32687580858260395,True
sub-02,1,Base1,266,341,212.8,272.8,0.13042523169333328,0.3367129499999999,1.0,0.3616628504605541,0.023187466223696957,0.16695879323865617,0.19233453644439774,0.3415770515791579,True
sub-02,1,Base1,285,360,228.0,288.0,0.12658018669333326,0.3367129499999999,1.0,0.38612395062005744,0.023608925551814156,0.14808429938684842,0.19189062522779538,0.33968837001804564,True
sub-02,1,Base1,304,379,243.20000000000002,303.2,0.13284030899999993,0.3367129499999999,1.0,0.31423111054609226,0.027662101198290125,0.1023716182579978,0.13914726197612123,0.3090645869999934,False
sub-02,1,Base1,323,398,258.40000000000003,318.40000000000003,0.13753185826666658,0.3367129499999999,1.0,0.264801507278732,0.028043778007480973,0.11630225197680638,0.12885021945446676,0.30617548063822236,True
sub-02,1,Base1,342,417,273.6,333.6,0.13915392738666663,0.3214696499999998,1.0,0.3060115520156681,0.02823764549081914,0.13502865959448213,0.1365542061938863,0.30368927197340184,True
