replicate,cross_d_recovery_late_minus_chronic,longitudinal_mean_delta
0,1.0951835771100322,0.012648891245825546
1,-0.703798828221024,0.07484995051614803
2,0.41289292909279574,0.027051869730510377
3,1.0102575999199594,-0.11602298514265352
4,-0.5304817187832848,0.034868657578179536
5,0.5283616958307202,0.06321851335734308
6,-1.0648034559864732,-0.19073974335980085
7,-1.0024283560750307,-0.07584614044969416
8,0.8449144416800186,-0.08516662337610291
9,0.008326467857778092,0.01652975076016176
10,-0.15125331105251053,0.008914025421189655
11,0.028163029909713946,0.13424478576052934
12,0.7559522906223537,-0.034489518225234
13,-0.5084004494155022,-0.013025347936760499
14,1.3989383860960356,0.08486230399015499
15,0.10058490356224557,0.021321175206038673
16,-0.056034386554177036,-0.11163111009658747
17,0.8499304333175519,0.03473875629155103
18,0.5353350762701208,0.049364371233861205
19,0.21914478489936148,0.024255062511656433
20,-0.23080755030841804,-0.13932077833494447
21,-0.34360441600473546,0.010196700223281781
22,0.6740490045674389,-0.0319162738742307
23,-0.3929659638634415,0.043838102133358224
24,0.08801576935814141,-0.00020031564377453705
25,0.11782775536432848,-0.01352514652966488
26,0.170294897814125,-0.02567700629178607
27,-0.058819558517136786,0.16764183651119108
28,0.5592628815423668,-0.015596243449383318
29,0.4693342033443528,-0.014970344200264659
30,0.5890984450120272,-0.06324329378333426
31,0.4736978943342038,0.14668757373389477
32,-0.42190551358035167,0.039297549872167596
33,2.0514549265279487,0.04842149011825245
34,0.2948310156204278,0.057859671496165305
35,-0.7034763425266181,0.06531436539134357
36,0.23738881182699084,-0.042706972142224436
37,0.8127638505218443,-0.012260011224835011
38,-0.4130785204436857,-0.09787796948027487
39,-0.06901322068857592,-0.06463262494017491
40,0.7202379973787496,0.03932118009672398
41,-0.8385573608853187,0.06726135641737427
42,0.1608245947161532,-0.07325893438300463
43,1.8945031882409065,0.01701596110015762
44,-0.026170148711165225,0.006870783238102575
45,0.21609285803437953,0.07450136646932354
46,0.5902036761496848,-0.004581121417922317
