task_name,model,n_permutations,observed_roc_auc,auc_permutation_p,observed_balanced_accuracy,balanced_accuracy_permutation_p,observed_log_loss,log_loss_permutation_p
responsive_vs_lor_all_phases,confounds_motion_propofol,10000,0.9675245098039216,9.999000099990002e-05,0.889093137254902,9.999000099990002e-05,0.2344014244692642,9.999000099990002e-05
responsive_vs_lor_all_phases,standard_fc_plus_confounds,10000,0.9671160130718954,9.999000099990002e-05,0.8936887254901961,9.999000099990002e-05,0.23403768384397963,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_core_plus_confounds,10000,0.9685457516339869,9.999000099990002e-05,0.8936887254901961,9.999000099990002e-05,0.23308098611729064,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_regime_plus_confounds,10000,0.965890522875817,9.999000099990002e-05,0.8936887254901961,9.999000099990002e-05,0.23751000968644295,9.999000099990002e-05
responsive_vs_lor_all_phases,full_standard_plus_gcc,10000,0.9642565359477124,9.999000099990002e-05,0.8936887254901961,9.999000099990002e-05,0.2415360752273605,9.999000099990002e-05
prelor_vs_lor_task2,confounds_motion_propofol,10000,0.9808,9.999000099990002e-05,0.98,9.999000099990002e-05,0.204285406101756,9.999000099990002e-05
prelor_vs_lor_task2,standard_fc_plus_confounds,10000,0.9856,9.999000099990002e-05,0.96,9.999000099990002e-05,0.1603638272781667,9.999000099990002e-05
prelor_vs_lor_task2,gcc_core_plus_confounds,10000,0.984,9.999000099990002e-05,0.96,9.999000099990002e-05,0.16932151535699105,9.999000099990002e-05
prelor_vs_lor_task2,gcc_regime_plus_confounds,10000,0.9823999999999999,9.999000099990002e-05,0.96,9.999000099990002e-05,0.18020155727236176,9.999000099990002e-05
prelor_vs_lor_task2,full_standard_plus_gcc,10000,0.9808,9.999000099990002e-05,0.94,9.999000099990002e-05,0.17980919113456195,9.999000099990002e-05
lor_vs_ror_task3,confounds_motion_propofol,10000,0.9556786703601108,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.26255704513648687,9.999000099990002e-05
lor_vs_ror_task3,standard_fc_plus_confounds,10000,0.9778393351800554,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.21712616353783987,9.999000099990002e-05
lor_vs_ror_task3,gcc_core_plus_confounds,10000,0.9778393351800554,9.999000099990002e-05,0.8947368421052632,0.00019998000199980003,0.2023564451087814,9.999000099990002e-05
lor_vs_ror_task3,gcc_regime_plus_confounds,10000,0.9861495844875346,9.999000099990002e-05,0.8947368421052632,0.00019998000199980003,0.1784839959733287,9.999000099990002e-05
lor_vs_ror_task3,full_standard_plus_gcc,10000,0.9833795013850415,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.18089647209877202,9.999000099990002e-05
