combo,task_name,gcc_core_auc_minus_confounds,gcc_core_auc_minus_standard_fc,gcc_core_log_loss_minus_confounds,gcc_core_log_loss_minus_standard_fc
withoutGSR_4S156,prelor_vs_lor_task2,0.008000000000000007,0.0016000000000000458,-0.015869309772928192,-0.008465087917693292
withoutGSR_4S156,lor_vs_ror_task3,0.01939058171745167,0.00554016620498643,-0.04859794319271571,-0.02124307612104359
withoutGSR_4S156,responsive_vs_lor_all_phases,0.015114379084967267,0.006331699346405206,-0.054029594980855106,-0.019651911272035694
withoutGSR_4S256,prelor_vs_lor_task2,0.009599999999999942,0.0031999999999999806,-0.0209123917795333,-0.01205166975881361
withoutGSR_4S256,lor_vs_ror_task3,0.008310249307479256,-0.005540166204986208,-0.018341113044970214,0.00032128572048728543
withoutGSR_4S256,responsive_vs_lor_all_phases,0.011029411764705843,0.0032679738562090277,-0.0409838763864023,-0.012669503223238787
withGSR_4S156,prelor_vs_lor_task2,0.0016000000000000458,-0.0031999999999999806,-0.0414225455400839,0.0011685404559445
withGSR_4S156,lor_vs_ror_task3,0.011080332409972415,0.0,-0.03396244658883951,-0.01680902671434001
withGSR_4S156,responsive_vs_lor_all_phases,0.002246732026143783,0.0020424836601306007,-0.007105616172641216,-0.0028783485323186087
withGSR_4S256,prelor_vs_lor_task2,0.0031999999999999806,-0.0016000000000000458,-0.034963890744765,0.0089576880788243
withGSR_4S256,lor_vs_ror_task3,0.02216066481994461,0.0,-0.060200600027705414,-0.014769718429058415
withGSR_4S256,responsive_vs_lor_all_phases,0.0010212418300652448,0.0014297385620913872,-0.0013204383519735963,-0.0009566977266889931
