task_name,model,n_permutations,observed_roc_auc,auc_permutation_p,observed_balanced_accuracy,balanced_accuracy_permutation_p,observed_log_loss,log_loss_permutation_p
responsive_vs_lor_all_phases,confounds_motion_propofol,10000,0.9675245098039216,9.999000099990002e-05,0.889093137254902,9.999000099990002e-05,0.2344014244692642,9.999000099990002e-05
responsive_vs_lor_all_phases,standard_fc_plus_confounds,10000,0.9752859477124183,9.999000099990002e-05,0.928921568627451,9.999000099990002e-05,0.20608705130610075,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_core_plus_confounds,10000,0.9785539215686274,9.999000099990002e-05,0.928921568627451,9.999000099990002e-05,0.19341754808286196,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_regime_plus_confounds,10000,0.9793709150326797,9.999000099990002e-05,0.9139093137254901,9.999000099990002e-05,0.19195464807916435,9.999000099990002e-05
responsive_vs_lor_all_phases,full_standard_plus_gcc,10000,0.979983660130719,9.999000099990002e-05,0.9237132352941176,9.999000099990002e-05,0.19324178984987575,9.999000099990002e-05
prelor_vs_lor_task2,confounds_motion_propofol,10000,0.9808,9.999000099990002e-05,0.98,9.999000099990002e-05,0.204285406101756,9.999000099990002e-05
prelor_vs_lor_task2,standard_fc_plus_confounds,10000,0.9871999999999999,9.999000099990002e-05,0.98,9.999000099990002e-05,0.19542468408103633,9.999000099990002e-05
prelor_vs_lor_task2,gcc_core_plus_confounds,10000,0.9904,9.999000099990002e-05,0.96,9.999000099990002e-05,0.1833730143222227,9.999000099990002e-05
prelor_vs_lor_task2,gcc_regime_plus_confounds,10000,0.9888,9.999000099990002e-05,0.96,9.999000099990002e-05,0.18622912407107972,9.999000099990002e-05
prelor_vs_lor_task2,full_standard_plus_gcc,10000,0.9888,9.999000099990002e-05,0.94,9.999000099990002e-05,0.18665740188509833,9.999000099990002e-05
lor_vs_ror_task3,confounds_motion_propofol,10000,0.9556786703601108,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.26255704513648687,9.999000099990002e-05
lor_vs_ror_task3,standard_fc_plus_confounds,10000,0.9695290858725762,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.2438946463710293,9.999000099990002e-05
lor_vs_ror_task3,gcc_core_plus_confounds,10000,0.96398891966759,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.24421593209151668,9.999000099990002e-05
lor_vs_ror_task3,gcc_regime_plus_confounds,10000,0.9667590027700831,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.23309370070997093,9.999000099990002e-05
lor_vs_ror_task3,full_standard_plus_gcc,10000,0.9722991689750693,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.23397016065678977,9.999000099990002e-05
