variant_id,variant_label,graph_type,control_id,strength_rel_error_mean,strength_rel_error_median,strength_rel_error_max,n_nodes,n_edges,backbone_nodes,backbone_fraction,alpha_S_max,external_mass_mean,internal_mass_mean,internal_minus_external_mean,raw_backbone_internal_weight,raw_backbone_external_weight,raw_backbone_internal_fraction_of_incident,raw_backbone_internal_fraction_of_total,requested_swaps,completed_swaps,attempts
brc_v3_1m_fibercount_conf50,1m FC 50%,real,-1,0.0,0.0,0.0,912,7091,91,0.09978070175438597,0.9737217937732073,0.4118621278058479,0.5881378721941521,0.17627574438830418,104567.5,116825.0,0.6415971284820223,0.3450867605224772,,,
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,0,1.3178918974838065,0.5435487948761166,129.16666666666666,912,7091,91,0.09978070175438597,0.9325842696629215,0.6869649148452531,0.3130350851547469,-0.37392982969050625,31588.5,115297.5,0.35398334215812344,0.1042462823990654,85092.0,85092.0,96323.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,1,1.351348814443222,0.5395110878295792,45.025,912,7091,91,0.09978070175438597,0.9809972636059594,0.7389506930047934,0.2610493069952066,-0.47790138600958676,20265.5,131369.0,0.235782431646306,0.06687886528193045,85092.0,85092.0,96551.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,2,1.3105894019469573,0.5454109021079736,39.723350253807105,912,7091,91,0.09978070175438597,0.9907439661607363,0.7090045355086225,0.29099546449137753,-0.418009071017245,24629.0,123587.5,0.2849828314882366,0.08127899992739705,85092.0,85092.0,96584.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,3,1.1471971759447224,0.5550442204853969,22.480654761904763,912,7091,91,0.09978070175438597,0.9466584917228694,0.7660109542551756,0.23398904574482435,-0.5320219085103512,17068.0,133371.5,0.20378789009447337,0.05632668686348666,85092.0,85092.0,96642.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,4,1.5783660112043414,0.5588313593714873,172.6,912,7091,91,0.09978070175438597,0.9759635308744302,0.7555745279733522,0.2444254720266477,-0.5111490559467046,19566.0,133189.0,0.22708781866400496,0.0645704215591153,85092.0,85092.0,96448.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,5,1.318751855962047,0.5618765753714003,83.74242424242425,912,7091,91,0.09978070175438597,0.9717117988394584,0.7673901395519854,0.23260986044801454,-0.5347802791039707,17235.0,129483.5,0.21024253828067105,0.056877809239055103,85092.0,85092.0,96446.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,6,1.2550687450028566,0.5446357549998466,65.875,912,7091,91,0.09978070175438597,0.9473464270789802,0.7136518059566299,0.2863481940433701,-0.42730361191325983,25726.0,130120.5,0.28336890222913713,0.08489924690942452,85092.0,85092.0,96647.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,7,1.43747938553654,0.5610147077796414,62.666666666666664,912,7091,91,0.09978070175438597,0.9460811561978876,0.7293864745467884,0.2706135254532116,-0.4587729490935768,21999.0,114771.5,0.27711871612620814,0.07259964754569036,85092.0,85092.0,96601.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,8,1.3093599291332039,0.5438693670301771,59.42857142857143,912,7091,91,0.09978070175438597,1.0,0.7204360489335707,0.2795639510664293,-0.44087209786714154,23805.5,120669.5,0.2829264234418129,0.07856133959038737,85092.0,85092.0,96691.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,9,1.2691118960454075,0.5436110499669822,32.18181818181818,912,7091,91,0.09978070175438597,0.9668378740509157,0.7354887861678518,0.2645112138321481,-0.47097757233570375,20314.0,126950.5,0.2424416019954827,0.06703892178022428,85092.0,85092.0,96505.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,10,1.2813250945948702,0.5342723004694836,55.34,912,7091,91,0.09978070175438597,0.9685925231454353,0.7200187111565777,0.2799812888434225,-0.44003742231315507,23603.5,125249.5,0.27373279638633513,0.07789471252532852,85092.0,85092.0,96498.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_preserving,11,1.4311594286160128,0.5626086956521739,53.875,912,7091,91,0.09978070175438597,0.9785690735245633,0.7372056869737807,0.26279431302621914,-0.4744113739475618,20730.0,122129.5,0.2534392488515461,0.06841177751816724,85092.0,85092.0,96678.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,0,2.213189273163635e-17,0.0,3.383536836952858e-16,912,7091,91,0.09978070175438597,0.7723795374392427,0.434784455765293,0.5652155442347069,0.1304310884694139,87517.40974074099,150925.18051851803,0.5369825116010614,0.2888191782030803,85092.0,85092.0,96308.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,1,1.9258684721764334e-17,0.0,4.817238886509154e-16,912,7091,91,0.09978070175438597,0.8678520235162298,0.42497028472279247,0.5750297152772075,0.15005943055441495,89358.1967230626,147243.6065538748,0.548277069107023,0.29489402188339503,85092.0,85092.0,96463.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,2,1.6110741081402105e-17,0.0,3.106197751956722e-16,912,7091,91,0.09978070175438597,0.8263031265121681,0.43981000435545076,0.5601899956445492,0.1203799912890985,89057.19862344561,147845.60275310877,0.5464302283927207,0.2939006878252962,85092.0,85092.0,96550.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,3,1.5098471493701686e-17,0.0,3.2297397080004555e-16,912,7091,91,0.09978070175438597,0.9509232499512579,0.4609708801108523,0.5390291198891476,0.07805823977829539,88165.22851999223,149629.54296001553,0.5409573476499707,0.2909570669728935,85092.0,85092.0,96633.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,4,1.3613443694960386e-17,0.0,3.3486550138914883e-16,912,7091,91,0.09978070175438597,0.9292371049261908,0.43624969520176826,0.5637503047982317,0.1275006095964634,92174.08999356488,141611.82001287024,0.5655546078878689,0.30418684696475085,85092.0,85092.0,96536.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,5,2.0427569201853105e-17,0.0,3.32417654156772e-16,912,7091,91,0.09978070175438597,0.787347544885703,0.4412553368974136,0.5587446631025864,0.11748932620517265,88368.39703945845,149223.20592108305,0.54220393324002,0.2916275503087554,85092.0,85092.0,96601.0
brc_v3_1m_fibercount_conf50,1m FC 50%,degree_strength_preserving,6,2.3437242954232397e-17,0.0,3.2569192543345685e-16,912,7091,91,0.09978070175438597,0.7955798408873465,0.43105528985135494,0.568944710148645,0.13788942029728996,88244.29716401832,149471.40567196335,0.5414424908824292,0.2912180040922266,85092.0,85092.0,96504.0
