variant_id,variant_label,K,null_type,n_real,n_null,event_A_R_real_mean,event_A_R_null_mean,event_A_R_real_minus_null,event_A_R_mw_p_greater,delta_A_R_real_mean,delta_A_R_null_mean,delta_A_R_real_minus_null,delta_A_R_mw_p_greater,event_R_backbone_real_mean,event_R_backbone_null_mean,event_R_backbone_real_minus_null,event_R_backbone_mw_p_greater,delta_R_backbone_real_mean,delta_R_backbone_null_mean,delta_R_backbone_real_minus_null,delta_R_backbone_mw_p_greater,event_R_global_real_mean,event_R_global_null_mean,event_R_global_real_minus_null,event_R_global_mw_p_greater,delta_R_global_real_mean,delta_R_global_null_mean,delta_R_global_real_minus_null,delta_R_global_mw_p_greater,event_D_eff_norm_real_mean,event_D_eff_norm_null_mean,event_D_eff_norm_real_minus_null,event_D_eff_norm_mw_p_greater,delta_D_eff_norm_real_mean,delta_D_eff_norm_null_mean,delta_D_eff_norm_real_minus_null,delta_D_eff_norm_mw_p_greater,event_M_tau_real_mean,event_M_tau_null_mean,event_M_tau_real_minus_null,event_M_tau_mw_p_greater,delta_M_tau_real_mean,delta_M_tau_null_mean,delta_M_tau_real_minus_null,delta_M_tau_mw_p_greater,alpha_S_max_real,alpha_S_max_null_mean,alpha_S_max_real_minus_null,alpha_S_max_p_real_lower_than_null
brc_v3_1m_fibercount_conf50,1m FC 50%,1.6,degree_preserving,12,12,0.12787798683469495,0.06225579620028535,0.0656221906344096,0.0060114127038087195,0.04760799355184039,0.001979326674093803,0.04562866687774658,0.08742665344664635,0.16123535142590603,0.09627906791865826,0.06495628350724778,0.00706898472795574,0.04488106972227494,-0.007324376453955968,0.05220544617623091,0.039126114263118524,0.03815455470855037,0.035433460492640734,0.0027210942159096377,0.4426169572366008,0.0012505995109677315,-0.0075082505742708845,0.008758850085238617,0.2721850729283049,0.0034141886939059625,0.0034202346592406914,-6.045965334728915e-06,0.6245840579554416,0.00030480646234471814,0.000326529582944756,-2.1723120600037845e-05,0.9734510213572083,0.00011831757418197715,0.00016057165572647136,-4.225408154449421e-05,0.8572618455740588,1.3051669990697217e-06,1.1985380126589007e-05,-1.0680213127519286e-05,0.7647567889706052,0.9737217937732073,0.9671738645720129,0.006547929201194402,0.6153846153846154
brc_v3_1m_fibercount_conf50,1m FC 50%,1.6,degree_strength_preserving,12,12,0.12787798683469495,0.1116467568402489,0.016231229994446053,0.2916802333513516,0.04760799355184039,0.027960031138112146,0.01964796241372824,0.2916802333513516,0.16123535142590603,0.15012578976651034,0.011109561659395695,0.33250277105101456,0.04488106972227494,0.01939312182366848,0.025487947898606457,0.21786533001586827,0.03815455470855037,0.043361518842478596,-0.005206964133928224,0.7278149270716952,0.0012505995109677315,-0.006245498079806566,0.007496097590774298,0.35372698385103735,0.0034141886939059625,0.0034181098746093584,-3.921180703395869e-06,0.6245840579554416,0.00030480646234471814,0.00032035507234493276,-1.5548610000214614e-05,0.9125733465533536,0.00011831757418197715,0.0001632333093463482,-4.491573516437104e-05,0.9797979402058882,1.3051669990697217e-06,-3.7259148181571313e-06,5.031081817226853e-06,0.7987480881089982,0.9737217937732073,0.8609431184173323,0.11277867535587505,1.0
brc_v3_1m_fibercount_conf50,1m FC 50%,2.4,degree_preserving,12,12,0.20091886399313807,0.07625649721012451,0.12466236678301357,0.0012183674044945073,0.13455713339499198,-0.0017696414627910901,0.13632677485778308,0.0036299774940952876,0.24228396670271954,0.11869494368632634,0.1235890230163932,0.0010047524278300067,0.12185291883846124,0.005525280721485615,0.11632763811697562,0.009686659665796444,0.05490697276157638,0.04505566135048866,0.009851311411087714,0.11829204666093807,-0.000618580806379517,0.007334852280716102,-0.007953433087095618,0.6024939140178809,0.003403705960973075,0.0033637728866525995,3.9933074320475364e-05,0.10724690389175873,0.0002956152752621945,0.00029563864630030324,-2.337103810874869e-08,0.6024939140178809,0.0002396595699944252,0.00010772510806115558,0.00013193446193326963,0.20125191189100178,0.00013354252134452813,9.149697045055897e-06,0.00012439282429947224,0.2533602574389292,0.9737217937732073,0.9671738645720129,0.006547929201194402,0.6153846153846154
brc_v3_1m_fibercount_conf50,1m FC 50%,2.4,degree_strength_preserving,12,12,0.20091886399313807,0.16392715585728487,0.0369917081358532,0.1703893067814773,0.13455713339499198,0.04341539926826954,0.09114173412672244,0.020202059794111847,0.24228396670271954,0.22082957128683725,0.021454395415882288,0.2533602574389292,0.12185291883846124,0.0500108003616333,0.07184211847682793,0.04426688600711478,0.05490697276157638,0.06810271739959717,-0.013195744638020791,0.9797979402058882,-0.000618580806379517,0.010801739369829496,-0.011420320176209014,0.6674972289489854,0.003403705960973075,0.0033582115222905826,4.549443868249233e-05,0.07047760957218573,0.0002956152752621945,0.00028993118035124164,5.684094910952844e-06,0.5345062767202164,0.0002396595699944252,0.00024309146177377747,-3.431891779352269e-06,0.6245840579554416,0.00013354252134452813,0.0001659913752215895,-3.244885387706137e-05,0.7083197666486484,0.9737217937732073,0.8609431184173323,0.11277867535587505,1.0
brc_v3_1m_fibercount_conf50,1m FC 50%,3.2,degree_preserving,12,12,0.30710963532328606,0.11103048602429529,0.19607914929899078,0.0008260197281170818,0.10871397890150547,0.03291702837062379,0.07579695053088167,0.07860637667000193,0.360880467419823,0.15458220709115267,0.20629826032867032,0.0006769707215463154,0.10081870978077252,0.030624473777910072,0.07019423600286245,0.1703893067814773,0.07901198541124661,0.04908011465643843,0.02993187075480818,0.005096552495554126,0.005735476695311566,0.0008639070826272169,0.004871569612684349,0.2721850729283049,0.0033403199831881242,0.0033734220470782793,-3.310206389015502e-05,0.8296106932185228,0.00027978176033980435,0.0003171392684483055,-3.7357508108501144e-05,0.9848085890117112,0.0001628385236548032,7.252757609421678e-05,9.031094756058641e-05,0.39750608598211906,1.2666462187856572e-05,-4.160340517955774e-05,5.4269867367414314e-05,0.6462730161489627,0.9737217937732073,0.9671738645720129,0.006547929201194402,0.6153846153846154
brc_v3_1m_fibercount_conf50,1m FC 50%,3.2,degree_strength_preserving,12,12,0.30710963532328606,0.20286963880062103,0.10423999652266502,0.039126114263118524,0.10871397890150547,0.09810456835354368,0.010609410547961787,0.5573830427633992,0.360880467419823,0.2671458087861538,0.0937346586336692,0.056175598845231975,0.10081870978077252,0.08963333598027627,0.011185373800496251,0.5115148723390122,0.07901198541124661,0.08043304178863764,-0.001421056377391025,0.35372698385103735,0.005735476695311566,-0.001189686357975006,0.006925163053286572,0.20125191189100178,0.0033403199831881242,0.0033586559702027756,-1.83359870146514e-05,0.6462730161489627,0.00027978176033980435,0.00029825859230421444,-1.8476831964410088e-05,0.8927530961082413,0.0001628385236548032,0.00033234420940668014,-0.00016950568575187694,0.9655178333304729,1.2666462187856572e-05,6.925223412205621e-06,5.7412387756509515e-06,0.6245840579554416,0.9737217937732073,0.8609431184173323,0.11277867535587505,1.0
brc_v3_1m_fibercount_conf50,1m FC 50%,4.0,degree_preserving,12,12,0.3664737765987714,0.13630258004801968,0.23017119655075172,0.00023884086447849076,0.18464757859085998,0.038057939149439335,0.14658963944142064,0.00706898472795574,0.4329420439898968,0.1764662986000379,0.25647574538985884,0.0002960210729472132,0.19019702759881815,0.034058403223752975,0.15613862437506518,0.008287463374926637,0.0964424015643696,0.047400439623743296,0.04904196194062631,0.0008260197281170818,0.020629907802989084,-0.0030858847312629223,0.023715792534252007,0.06301106088518654,0.0032887086128967655,0.0033355118119771845,-4.6803199080419026e-05,0.9369889391148134,0.00025031676520762756,0.000304672241469009,-5.4355476261381424e-05,0.9824554419529761,0.0004566487997029374,0.000217483852187191,0.00023916494751574644,0.39750608598211906,0.00012689436982782354,0.0001301823529805309,-3.2879831527073686e-06,0.6462730161489627,0.9737217937732073,0.9671738645720129,0.006547929201194402,0.6153846153846154
brc_v3_1m_fibercount_conf50,1m FC 50%,4.0,degree_strength_preserving,12,12,0.3664737765987714,0.3178745011488597,0.048599275449911716,0.15616071083810806,0.18464757859085998,0.17386726685799658,0.010780311732863396,0.46549372327978356,0.4329420439898968,0.3943971482415994,0.03854489574829739,0.20125191189100178,0.19019702759881815,0.17753157981981835,0.012665447778999805,0.39750608598211906,0.0964424015643696,0.106157380156219,-0.009714978591849402,0.5573830427633992,0.020629907802989084,0.02266351319849491,-0.002033605395505827,0.6245840579554416,0.0032887086128967655,0.0032997646103255997,-1.1055997428834237e-05,0.6245840579554416,0.00025031676520762756,0.00027750132954595567,-2.7184564338328106e-05,0.9213936233299981,0.0004566487997029374,0.000411284751862695,4.536404784024245e-05,0.7647567889706052,0.00012689436982782354,0.00012431456381515696,2.57980601266658e-06,0.5800700137299983,0.9737217937732073,0.8609431184173323,0.11277867535587505,1.0
brc_v3_200k_fibercount_conf50,200k FC 50%,1.6,degree_preserving,12,12,0.1638973051061233,0.07844775185609858,0.08544955325002472,0.004307779059410237,0.055546537041664124,-0.0011772776876265805,0.0567238147292907,0.08742665344664635,0.19498473467926183,0.12266082192460696,0.07232391275465487,0.0030494729656071837,0.0506136491894722,0.0004577937846382459,0.05015585540483395,0.09696542614120535,0.03933872406681379,0.044106019738440715,-0.0047672956716269255,0.7083197666486484,0.0011359179237236579,0.001948578826462229,-0.0008126609027385712,0.5345062767202164,0.003869152739073577,0.0038945019514193026,-2.534921234572567e-05,0.843839289161892,0.00033735986357777306,0.0003635283756928003,-2.616851211502722e-05,0.9438244011547681,6.703060413807786e-05,0.00012595514939069594,-5.8924545252618074e-05,0.843839289161892,-5.179933191357122e-05,1.1682551606403043e-05,-6.348188351997426e-05,0.6674972289489854,0.9811827956989244,0.959040165509793,0.02214263018913143,0.7692307692307693
brc_v3_200k_fibercount_conf50,200k FC 50%,1.6,degree_strength_preserving,12,12,0.1638973051061233,0.11527684703469276,0.04862045807143053,0.056175598845231975,0.055546537041664124,0.014226736054600527,0.041319800987063594,0.21786533001586827,0.19498473467926183,0.16514292359352112,0.029841811085740716,0.09696542614120535,0.0506136491894722,0.018621262162923813,0.031992387026548386,0.35372698385103735,0.03933872406681379,0.05230633704923093,-0.012967612982417144,0.7821346699841317,0.0011359179237236579,0.0029242717816183963,-0.0017883538578947384,0.48848512766098784,0.003869152739073577,0.003894540960896553,-2.5388221822976106e-05,0.7821346699841317,0.00033735986357777306,0.0003579273242066909,-2.0567460628917857e-05,0.9125733465533536,6.703060413807786e-05,0.00016402834618626608,-9.699774204818822e-05,0.6674972289489854,-5.179933191357122e-05,1.0692858438687836e-05,-6.249219035225906e-05,0.7466397425610708,0.9811827956989244,0.8672175057294251,0.11396528996949928,0.8461538461538461
