task_name,model,n_permutations,observed_roc_auc,auc_permutation_p,observed_balanced_accuracy,balanced_accuracy_permutation_p,observed_log_loss,log_loss_permutation_p
responsive_vs_lor_all_phases,confounds_motion_propofol,10000,0.9675245098039216,9.999000099990002e-05,0.889093137254902,9.999000099990002e-05,0.2344014244692642,9.999000099990002e-05
responsive_vs_lor_all_phases,standard_fc_plus_confounds,10000,0.9763071895424836,9.999000099990002e-05,0.9237132352941176,9.999000099990002e-05,0.2000237407604448,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_core_plus_confounds,10000,0.9826388888888888,9.999000099990002e-05,0.928921568627451,9.999000099990002e-05,0.18037182948840916,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_regime_plus_confounds,10000,0.9797794117647058,9.999000099990002e-05,0.928921568627451,9.999000099990002e-05,0.18883874793725033,9.999000099990002e-05
responsive_vs_lor_all_phases,full_standard_plus_gcc,10000,0.9789624183006536,9.999000099990002e-05,0.928921568627451,9.999000099990002e-05,0.18953847763480303,9.999000099990002e-05
prelor_vs_lor_task2,confounds_motion_propofol,10000,0.9808,9.999000099990002e-05,0.98,9.999000099990002e-05,0.204285406101756,9.999000099990002e-05
prelor_vs_lor_task2,standard_fc_plus_confounds,10000,0.9871999999999999,9.999000099990002e-05,0.98,9.999000099990002e-05,0.19688118424652112,9.999000099990002e-05
prelor_vs_lor_task2,gcc_core_plus_confounds,10000,0.9888,9.999000099990002e-05,0.96,9.999000099990002e-05,0.18841609632882786,9.999000099990002e-05
prelor_vs_lor_task2,gcc_regime_plus_confounds,10000,0.9888,9.999000099990002e-05,0.94,9.999000099990002e-05,0.19578035825193724,9.999000099990002e-05
prelor_vs_lor_task2,full_standard_plus_gcc,10000,0.9888,9.999000099990002e-05,0.94,9.999000099990002e-05,0.19705921826040815,9.999000099990002e-05
lor_vs_ror_task3,confounds_motion_propofol,10000,0.9556786703601108,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.26255704513648687,9.999000099990002e-05
lor_vs_ror_task3,standard_fc_plus_confounds,10000,0.9695290858725761,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.23520217806481478,9.999000099990002e-05
lor_vs_ror_task3,gcc_core_plus_confounds,10000,0.9750692520775623,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.21395910194377113,9.999000099990002e-05
lor_vs_ror_task3,gcc_regime_plus_confounds,10000,0.9778393351800554,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.19785768581271973,9.999000099990002e-05
lor_vs_ror_task3,full_standard_plus_gcc,10000,0.9806094182825486,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.19281440948246883,9.999000099990002e-05
