n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.012988387210928976,0.06063115933297442,awake_base1_vs_lor,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9901960784313726,0.987012987012987,0.01120683653171665,0.05670027047651993,awake_base1_vs_lor,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9901960784313726,0.987012987012987,0.010430809856299598,0.054376995506673756,awake_base1_vs_lor,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.011116186730367574,0.05289949818366821,awake_base1_vs_lor,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9901960784313726,0.987012987012987,0.009724052064645007,0.049945277587430045,awake_base1_vs_lor,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.07331002925770355,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
147,26,0.3469387755102041,0.9752859477124183,0.9550729643007911,0.928921568627451,0.9251700680272109,0.06354614114028605,0.20608705130610075,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
147,26,0.3469387755102041,0.9785539215686274,0.9626955199394556,0.928921568627451,0.9251700680272109,0.05979209264433154,0.19341754808286196,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
147,26,0.3469387755102041,0.9793709150326797,0.9655171692524184,0.9139093137254901,0.9115646258503401,0.06003601379814384,0.19195464807916435,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
147,26,0.3469387755102041,0.979983660130719,0.9658163178394238,0.9237132352941176,0.9183673469387755,0.06058308393712194,0.19324178984987575,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
50,25,0.5,0.9808,0.9870270270270272,0.98,0.98,0.050116009133361006,0.204285406101756,prelor_vs_lor_task2,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
50,25,0.5,0.9871999999999999,0.9903030303030305,0.98,0.98,0.049844597927667246,0.19542468408103633,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
50,25,0.5,0.9904,0.9922580645161292,0.96,0.96,0.04783247967153935,0.1833730143222227,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
50,25,0.5,0.9888,0.9906580645161291,0.96,0.96,0.04892564282096738,0.18622912407107972,prelor_vs_lor_task2,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
50,25,0.5,0.9888,0.9906580645161291,0.94,0.94,0.04936652163810797,0.18665740188509833,prelor_vs_lor_task2,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
38,19,0.5,0.9556786703601108,0.9674855554678798,0.9210526315789473,0.9210526315789473,0.07842333065433685,0.26255704513648687,lor_vs_ror_task3,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
