task_name,model,n_permutations,observed_roc_auc,auc_permutation_p,observed_balanced_accuracy,balanced_accuracy_permutation_p,observed_log_loss,log_loss_permutation_p
responsive_vs_lor_all_phases,confounds_motion_propofol,10000,0.9675245098039216,9.999000099990002e-05,0.889093137254902,9.999000099990002e-05,0.2344014244692642,9.999000099990002e-05
responsive_vs_lor_all_phases,standard_fc_plus_confounds,10000,0.9677287581699348,9.999000099990002e-05,0.8740808823529411,9.999000099990002e-05,0.23017415682894163,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_core_plus_confounds,10000,0.9697712418300654,9.999000099990002e-05,0.8838848039215685,9.999000099990002e-05,0.227295808296623,9.999000099990002e-05
responsive_vs_lor_all_phases,gcc_regime_plus_confounds,10000,0.96875,9.999000099990002e-05,0.8884803921568627,9.999000099990002e-05,0.230074768203894,9.999000099990002e-05
responsive_vs_lor_all_phases,full_standard_plus_gcc,10000,0.9667075163398693,9.999000099990002e-05,0.8884803921568627,9.999000099990002e-05,0.23284117795103168,9.999000099990002e-05
prelor_vs_lor_task2,confounds_motion_propofol,10000,0.9808,9.999000099990002e-05,0.98,9.999000099990002e-05,0.204285406101756,9.999000099990002e-05
prelor_vs_lor_task2,standard_fc_plus_confounds,10000,0.9856,9.999000099990002e-05,0.96,9.999000099990002e-05,0.16169432010572765,9.999000099990002e-05
prelor_vs_lor_task2,gcc_core_plus_confounds,10000,0.9823999999999999,9.999000099990002e-05,0.96,9.999000099990002e-05,0.1628628605616721,9.999000099990002e-05
prelor_vs_lor_task2,gcc_regime_plus_confounds,10000,0.9823999999999999,9.999000099990002e-05,0.96,9.999000099990002e-05,0.16674242799322428,9.999000099990002e-05
prelor_vs_lor_task2,full_standard_plus_gcc,10000,0.984,9.999000099990002e-05,0.96,9.999000099990002e-05,0.17085640088678997,9.999000099990002e-05
lor_vs_ror_task3,confounds_motion_propofol,10000,0.9556786703601108,9.999000099990002e-05,0.9210526315789473,9.999000099990002e-05,0.26255704513648687,9.999000099990002e-05
lor_vs_ror_task3,standard_fc_plus_confounds,10000,0.9667590027700831,9.999000099990002e-05,0.868421052631579,0.00029997000299970003,0.24540362526198733,9.999000099990002e-05
lor_vs_ror_task3,gcc_core_plus_confounds,10000,0.9667590027700831,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.22859459854764733,9.999000099990002e-05
lor_vs_ror_task3,gcc_regime_plus_confounds,10000,0.9778393351800554,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.20895533222553309,9.999000099990002e-05
lor_vs_ror_task3,full_standard_plus_gcc,10000,0.9695290858725761,9.999000099990002e-05,0.8947368421052632,9.999000099990002e-05,0.2147197243203686,9.999000099990002e-05
