subject,run,phase,window_start_tr,window_stop_tr,window_start_sec,window_stop_sec,fd_mean,fd_max,valid_fraction,R_phase,D_eff,M_tau,mean_fc,mean_abs_fc,inside_baseline_regime
sub-02,1,Base1,0,75,0.0,60.0,0.1368046504506665,0.283664148,1.0,0.38025866922310686,0.04267498018478866,0.17590934167158204,0.21348274650952587,0.31605929453491355,False
sub-02,1,Base1,19,94,15.200000000000001,75.2,0.13349358395999983,0.283664148,1.0,0.4667154281895183,0.03116816099460162,0.1511899113410552,0.291195413455723,0.37980588062699633,False
sub-02,1,Base1,38,113,30.400000000000002,90.4,0.13545952093333333,0.3021101930000001,1.0,0.4360195748929118,0.03173868100407736,0.1519876905276062,0.26614185001374185,0.37561171215348516,False
sub-02,1,Base1,57,132,45.6,105.60000000000001,0.14117984435999997,0.3021101930000001,1.0,0.41288025690963504,0.03417519816442216,0.13201887233626666,0.23916126156583006,0.35961038248899013,False
sub-02,1,Base1,76,151,60.800000000000004,120.80000000000001,0.13259443689333344,0.3021101930000001,1.0,0.3937205010727769,0.03517994577688886,0.16480470790026389,0.2376948623498206,0.35466077962046216,False
sub-02,1,Base1,95,170,76.0,136.0,0.13259980926666678,0.3021101930000001,1.0,0.29838037205028295,0.050886298509736534,0.12105217671473914,0.13238459392680857,0.2857605038814655,True
sub-02,1,Base1,114,189,91.2,151.20000000000002,0.1239930944813333,0.2997751,1.0,0.2802314272559789,0.050329598106972566,0.09899788660059668,0.10244399076965108,0.28799175725455056,True
sub-02,1,Base1,133,208,106.4,166.4,0.12066011082799982,0.2997751,1.0,0.25216035296497186,0.05451363892941743,0.10237707853091499,0.08803581405068443,0.275385775151138,True
sub-02,1,Base1,152,227,121.60000000000001,181.60000000000002,0.12119428982799997,0.2997751,1.0,0.2445514864454123,0.052386742908287806,0.10239892488423696,0.08984483800926554,0.27902558233093877,True
sub-02,1,Base1,171,246,136.8,196.8,0.12231375102799996,0.2997751,1.0,0.22418408263187678,0.05236981133289552,0.09590264756356869,0.07491783106498573,0.2787327495401405,True
sub-02,1,Base1,190,265,152.0,212.0,0.1262881976533333,0.2810848299999999,1.0,0.17700596732942359,0.048977862698203874,0.11454415918845615,0.03960113631248405,0.29177135657825976,True
sub-02,1,Base1,209,284,167.20000000000002,227.20000000000002,0.13051698152000007,0.2810848299999999,1.0,0.18519598948445187,0.04847166858325642,0.07897483381114616,0.04532732382200781,0.29280044688761236,True
sub-02,1,Base1,228,303,182.4,242.4,0.12834271687999996,0.2980743,1.0,0.1602908714851103,0.04754926167323309,0.06515722142924639,0.03261960126285979,0.2970559777849442,True
sub-02,1,Base1,247,322,197.60000000000002,257.6,0.12388630939999996,0.2980743,1.0,0.15307051216885537,0.043086974613054364,0.057490253678231705,0.022691167650687554,0.31441388849380897,True
sub-02,1,Base1,266,341,212.8,272.8,0.13042523169333328,0.3367129499999999,1.0,0.16260447503650563,0.04515531728638543,0.05934124896231443,0.029353548949002283,0.306033253732817,True
sub-02,1,Base1,285,360,228.0,288.0,0.12658018669333326,0.3367129499999999,1.0,0.16326820008022375,0.043560900317231414,0.04964329746896619,0.023127444748996456,0.31149322989274386,True
sub-02,1,Base1,304,379,243.20000000000002,303.2,0.13284030899999993,0.3367129499999999,1.0,0.13507948278443532,0.044902284290243684,0.059521403690906305,0.01944130785362907,0.3060977162309433,True
sub-02,1,Base1,323,398,258.40000000000003,318.40000000000003,0.13753185826666658,0.3367129499999999,1.0,0.13641397423014756,0.043529394600827546,0.045551977921585364,0.021507772437218995,0.3109799807888436,True
sub-02,1,Base1,342,417,273.6,333.6,0.13915392738666663,0.3214696499999998,1.0,0.1450541907737158,0.048529472218717846,0.05804041586431693,0.01740994995789867,0.2914308908129827,True
sub-02,1,Base1,361,436,288.8,348.8,0.14087159885333328,0.3214696499999998,1.0,0.1369905954928488,0.05127252207973226,0.06250399006856625,0.02002144405225562,0.2826795540383302,True
sub-02,1,Base1,380,455,304.0,364.0,0.13850211871999998,0.3026901999999999,1.0,0.12673505558149326,0.04621087770455294,0.07063585987396458,0.019954225651637392,0.30176809382802383,True
sub-02,1,Base1,399,474,319.20000000000005,379.20000000000005,0.14273133151999992,0.3173155000000001,1.0,0.1288552374231692,0.047172081822185095,0.06911003784689092,0.023105745350237156,0.2983317346586013,True
sub-02,1,Base1,418,493,334.40000000000003,394.40000000000003,0.14289152266666663,0.3173155000000001,1.0,0.11258070809859551,0.0479249486483939,0.0486918109261759,0.013882237571336607,0.2957334899810342,True
sub-02,1,Base1,437,512,349.6,409.6,0.14588332399999998,0.3173155000000001,1.0,0.10807942336380473,0.05185901294363491,0.04232767623610184,0.013859581907147924,0.28212533270563794,False
sub-02,1,Base1,456,531,364.8,424.8,0.14903108919999997,0.34789205,1.0,0.12111543774853743,0.054492802202595544,0.05280472681198166,0.013793957411778825,0.27435787758570296,True
sub-02,1,Base1,475,550,380.0,440.0,0.14817971133333332,0.34789205,1.0,0.11288344082752871,0.05518704748696429,0.04160291950620216,0.010665570773639088,0.2722927541850169,False
sub-02,1,Base1,494,569,395.20000000000005,455.20000000000005,0.1417979793333329,0.34789205,1.0,0.10657965315076436,0.05273769526571027,0.044164198840983576,0.010632841401204622,0.2799332710574074,False
sub-02,1,Base1,513,588,410.40000000000003,470.40000000000003,0.1416034122666658,0.34789205,1.0,0.131634261553302,0.05026205201401891,0.07580788158254094,0.02157344113454586,0.28702837518016155,True
sub-02,1,Base1,532,607,425.6,485.6,0.13689286479999918,0.31898815,1.0,0.14009227524151527,0.04915839612162272,0.07117998331762906,0.022066492907039745,0.29059320018081264,True
sub-02,1,Base1,551,626,440.8,500.8,0.13504771546666586,0.31898815,1.0,0.14054880768096858,0.05375574614869113,0.07928474674787142,0.022014516186234755,0.275572563486184,True
sub-02,1,Base1,570,645,456.0,516.0,0.12966196219999962,0.263892999999995,1.0,0.1551713897115522,0.05410506904417753,0.07801428968892357,0.02562880505712387,0.2746085899047316,True
sub-02,1,Base1,589,664,471.20000000000005,531.2,0.12480482826666664,0.2606547000000001,1.0,0.13478067197226104,0.05630776991856554,0.06199161031161581,0.01734439364146905,0.2676025509758423,False
sub-02,1,Base1,608,683,486.40000000000003,546.4,0.1264920758666665,0.2606547000000001,1.0,0.13569240297773008,0.0569182723627997,0.07037524765586974,0.018883443666604785,0.26725960794541814,False
sub-02,1,Base1,627,702,501.6,561.6,0.1290886431999998,0.27742215,1.0,0.14313542213598957,0.05439223374097777,0.05689496167195151,0.020126660894045148,0.2746200250600004,True
sub-02,1,Base1,646,721,516.8000000000001,576.8000000000001,0.13147653493333317,0.27742215,1.0,0.16140363297728788,0.05313561866455969,0.0660566227175485,0.02456104097480664,0.27750776575569,True
sub-02,1,Base1,665,740,532.0,592.0,0.13639603439999987,0.30474847,1.0,0.1651713297733364,0.05144809335836404,0.0778985312542957,0.02954529016152302,0.28312788778028275,True
