,auc,accuracy,permutation_p_upper,n_permutations,n
global_integrity,0.6111111111111112,0.5333333333333333,0.2547452547452547,1000.0,15.0
p1_backbone,0.7222222222222221,0.6,0.08591408591408592,1000.0,15.0
global_plus_p1,0.7962962962962963,0.6666666666666666,0.04395604395604396,1000.0,15.0
p1_components,0.8703703703703703,0.7333333333333333,0.01898101898101898,1000.0,15.0
