fold_id,model,n_test,mae,rmse,r2,spearman_rho,pearson_r
0,A_clinical,12,3.045121477972662,3.759731457811851,0.14185345218387702,0.6852325257023753,0.423935464216183
0,B_global_activity,12,3.2917696559545306,4.189544364804644,-0.06556855218885072,0.1849040148720695,0.06639776226824101
0,C_standard_eeg_fc,12,3.184817447290502,4.357620914813724,-0.15278071052275188,0.0543835337859028,-0.06140883292611313
0,D_p1_core_true_backbone,12,3.4635039465034083,4.376914029184068,-0.16301104735119631,0.2392875486579723,-0.10101097433363425
0,E_standard_plus_p1,12,3.4045650460261707,4.531371303249621,-0.24654254968787548,0.06888580946214355,-0.28634600122787895
0,F_random_backbone_control,12,3.554991575827874,4.441699243749187,-0.19769463438312918,0.03625568919060187,-0.17366067450606482
1,A_clinical,12,3.4737540999601055,4.696964129088295,0.00098994581393963,0.19002397605765053,0.32831607218291375
1,B_global_activity,12,3.045971348786209,4.3565731257566,0.14054055546877153,0.6059255085611874,0.4979069034438412
1,C_standard_eeg_fc,12,3.4966008601267724,4.721734245597833,-0.00957468465138156,0.12548753135882582,0.18373312441756282
1,D_p1_core_true_backbone,12,2.934648859808982,4.382219431207102,0.1303918274755127,0.6202669407164819,0.48879649831289795
1,E_standard_plus_p1,12,3.4789530039400582,4.79624067732152,-0.041687153273672006,0.2007800501741213,0.18959293089529974
1,F_random_backbone_control,12,3.10119747767695,4.781037269498555,-0.03509361686041634,0.31909686545529997,0.2776658154237803
2,A_clinical,12,3.2594542100274175,3.7241525967022113,0.23655160200786296,0.42866985897240856,0.48752668705400737
2,B_global_activity,12,3.3216278355972118,3.867163178487401,0.1767916853734618,0.28577990598160574,0.42196399390074996
2,C_standard_eeg_fc,12,3.1164743297273847,3.760798155005223,0.22145305893445721,0.2536296665586751,0.4734599015659968
2,D_p1_core_true_backbone,12,3.3651310216992463,3.9921656420912566,0.12271266895996902,0.250057417733905,0.4310046681448562
2,E_standard_plus_p1,12,3.5088428422217013,4.228953421092401,0.015557043792525649,0.021433492948620427,0.3610837692559862
2,F_random_backbone_control,12,3.4007975298219826,4.047737230395199,0.09811871451408849,0.11073971356787222,0.3217677865104487
3,A_clinical,12,4.074684211238631,5.722629732844978,-0.08884384957994906,0.27966748254766044,0.13255673063220202
3,B_global_activity,12,3.9598191786714225,5.573215996442994,-0.03272825264215262,0.27612738783186724,0.16498010303130284
3,C_standard_eeg_fc,12,3.5642150268348494,5.447490192374057,0.013340680437390229,0.4460519341899395,0.3762845951292682
3,D_p1_core_true_backbone,12,3.4597335387879844,5.0740834413947695,0.14396894968504537,0.6124363858322185,0.5121133221753753
3,E_standard_plus_p1,12,4.043275822301456,5.41990008234818,0.02330971277306737,0.3433891874319375,0.47505613420417825
3,F_random_backbone_control,12,4.300911866391129,5.550195735923965,-0.02421447005723243,0.1557641674948995,0.11546211199227055
4,A_clinical,11,2.377028875964633,2.6731883210534595,-0.38567024323366983,0.46998593801275235,0.6372739996937173
4,B_global_activity,11,2.255034806603794,2.5193064537309198,-0.23072997747602852,0.4383014927534657,0.5695555510471693
4,C_standard_eeg_fc,11,3.3185255180310818,3.563571757802146,-1.4624748147974587,0.3274059343459623,0.3222055022151689
4,D_p1_core_true_backbone,11,3.677458606267422,3.917882780764981,-1.9764847172140758,0.14786074454333784,0.2602684985523382
4,E_standard_plus_p1,11,3.044849888151386,3.368614497570851,-1.2004089737541448,0.14786074454333784,0.16700984661127652
4,F_random_backbone_control,11,2.9163537904217907,3.2728527082151815,-1.0770822865548801,0.32212519346941454,0.41599299522721367
5,A_clinical,12,3.395036574624482,5.124867732866511,0.20192977922975508,0.6587178458810125,0.4800239734004468
5,B_global_activity,12,3.444326067217006,5.189595368205272,0.18164304445231982,0.5698898684649889,0.4713606516060068
5,C_standard_eeg_fc,12,3.582975465426415,5.201914552591179,0.17775316273597297,0.6867903543039608,0.5441473073853824
5,D_p1_core_true_backbone,12,3.502922569201383,5.139176045857572,0.1974672331788263,0.6137275506546034,0.5193213492751372
5,E_standard_plus_p1,12,3.8471805816488427,5.630545206345112,0.036666456598393626,0.77446571868319,0.718009510007513
5,F_random_backbone_control,12,3.867436700648641,5.431036128403741,0.10372523873478723,0.4237642611662738,0.3829881185989656
6,A_clinical,12,3.5114264608613,3.8896835786638406,0.04778499944654335,0.5713798944272415,0.35284142297040755
6,B_global_activity,12,3.1600962652269993,3.5322879818319195,0.2147305910535109,0.6873350146976527,0.5056242869713543
6,C_standard_eeg_fc,12,4.274810106189153,4.848668746937038,-0.4796244584455662,0.4894113193658679,0.4255010776483511
6,D_p1_core_true_backbone,12,3.1525725141867205,3.5140442195732065,0.2228212517899104,0.6873350146976527,0.5291935755277786
6,E_standard_plus_p1,12,3.6916459256559135,4.103836108258584,-0.059952707909249225,0.5973696986377506,0.6360550966502917
6,F_random_backbone_control,12,3.701453687983778,4.121839373581906,-0.0692729957656697,0.5685807974985818,0.5234581487294183
7,A_clinical,12,2.1184406319354943,2.3477093083684064,0.0673438125612793,0.6732661012259348,0.5503961185470465
7,B_global_activity,12,2.79217586876876,3.0494850048621776,-0.5735695258080089,0.16012815380508716,0.09991652150336115
7,C_standard_eeg_fc,12,2.588031793415366,2.940330185528861,-0.46293535886044035,-0.05822841956548623,0.0003790940327314529
7,D_p1_core_true_backbone,12,3.167346075019062,3.5795343511454623,-1.1681334061437987,-0.06550697201117202,0.0286620671794221
7,E_standard_plus_p1,12,2.7400609051770424,3.1823414430604946,-0.7136671876283553,-0.21107802092488762,-0.1882579154555048
7,F_random_backbone_control,12,2.542822404055349,2.9416213829836604,-0.4642204887885373,0.0363927622284289,-0.026699629089974218
8,A_clinical,12,4.109944199961354,4.885722969990643,-0.18528331285764232,0.28778100027198306,0.24313076724340552
8,B_global_activity,12,3.8326127402111267,4.689899123939121,-0.09217315384565161,0.06039848153856435,0.22243160629338285
8,C_standard_eeg_fc,12,3.839590038869563,4.946615695065254,-0.21501275316961732,-0.017764259276048338,0.1161112120854344
8,D_p1_core_true_backbone,12,4.807715178541414,5.653405609849925,-0.5870287167191359,-0.18119544461569304,-0.06606330887858325
8,E_standard_plus_p1,12,5.024980612393735,5.946026482838723,-0.755570087787999,-0.46542359303246644,-0.23594303087202487
8,F_random_backbone_control,12,3.8498123672003826,5.0903849492966184,-0.28666576765919904,-0.20251255574695104,-0.02218854622168138
9,A_clinical,11,2.425194447695353,3.4558752277214535,0.33158561316418333,0.7216706924882901,0.6283685358288128
9,B_global_activity,11,2.9205998723575366,4.23973962751101,-0.006023332654741642,0.29153584266083243,0.13767983970169861
9,C_standard_eeg_fc,11,2.739099548886612,4.605091366329239,-0.18687828194313227,0.24852235767808661,0.09113607574309274
9,D_p1_core_true_backbone,11,2.926778321000022,4.476928650069614,-0.12173436941513005,0.2724187382240565,0.14521279706324286
9,E_standard_plus_p1,11,2.9967103672083906,4.684904594603316,-0.22837560514559074,0.1290404549482373,0.022253735626006597
9,F_random_backbone_control,11,3.1852696622964483,4.410434426803943,-0.08866038474080873,-0.09080624607468551,-0.067033405770699
10,A_clinical,12,3.4643189449656515,5.107171573845466,0.05723368127607775,0.5818674305282278,0.29529641506433685
10,B_global_activity,12,3.9860674710353643,5.353730045444248,-0.03599127949972791,0.3433951771519804,0.1394248593440962
10,C_standard_eeg_fc,12,4.207151018382865,5.376548661319032,-0.04484128340475202,0.3068637753273017,0.1447844323368701
10,D_p1_core_true_backbone,12,4.395543882297727,5.573466799582541,-0.1227782710620069,0.3507014575169162,0.1548218049074932
10,E_standard_plus_p1,12,4.061018982500289,5.337806068854966,-0.02983760103752675,0.08767536437922906,0.046261823582087344
10,F_random_backbone_control,12,4.311492776545012,5.542169543902969,-0.11020397301321605,0.21918841094807265,0.03561158777833259
11,A_clinical,12,2.7280672878967245,3.232924509098023,0.18025091125280857,0.627276407361538,0.6835668327867226
11,B_global_activity,12,2.9027184975979368,3.369118431777932,0.10972870530621248,0.6584672368898571,0.6543228272841519
11,C_standard_eeg_fc,12,2.68880482032338,3.273006674567186,0.1597982202540118,0.690500778143958,0.6096851673677173
11,D_p1_core_true_backbone,12,2.817217972622705,3.3994670543324452,0.09361754874574801,0.3737246479645134,0.49794262626886576
11,E_standard_plus_p1,12,3.1496447026118255,3.750408970424712,-0.10318176042683502,0.4342324481111489,0.5519863683869228
11,F_random_backbone_control,12,2.7160894892941823,3.4216746858698786,0.08173665443743272,0.5338923542350191,0.6184687608263982
12,A_clinical,12,2.8049755181304508,3.65352533279744,0.26071245405209953,0.601816101684839,0.5137431286554762
12,B_global_activity,12,3.024267969668996,3.980047662221142,0.12266452589558285,0.48853307077945746,0.36137293590957664
