task_name,model,n_permutations,observed_roc_auc,auc_permutation_p,observed_balanced_accuracy,balanced_accuracy_permutation_p,observed_log_loss,log_loss_permutation_p,combo,gsr,atlas
lor_vs_ror_task3,gcc_core_plus_confounds,100,0.96398891966759,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.2442159320915166,0.0099009900990099,withoutGSR_4S256,without_GSR,4S256
lor_vs_ror_task3,gcc_regime_plus_confounds,100,0.9667590027700832,0.0099009900990099,0.9210526315789472,0.0099009900990099,0.2330937007099709,0.0099009900990099,withoutGSR_4S256,without_GSR,4S256
lor_vs_ror_task3,full_standard_plus_gcc,100,0.9722991689750692,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.2339701606567897,0.0099009900990099,withoutGSR_4S256,without_GSR,4S256
responsive_vs_lor_all_phases,confounds_motion_propofol,100,0.9675245098039216,0.0099009900990099,0.889093137254902,0.0099009900990099,0.2344014244692642,0.0099009900990099,withGSR_4S156,with_GSR,4S156
responsive_vs_lor_all_phases,standard_fc_plus_confounds,100,0.9677287581699348,0.0099009900990099,0.8740808823529411,0.0099009900990099,0.2301741568289416,0.0099009900990099,withGSR_4S156,with_GSR,4S156
responsive_vs_lor_all_phases,gcc_core_plus_confounds,100,0.9697712418300654,0.0099009900990099,0.8838848039215685,0.0099009900990099,0.227295808296623,0.0099009900990099,withGSR_4S156,with_GSR,4S156
responsive_vs_lor_all_phases,gcc_regime_plus_confounds,100,0.96875,0.0099009900990099,0.8884803921568627,0.0099009900990099,0.230074768203894,0.0099009900990099,withGSR_4S156,with_GSR,4S156
responsive_vs_lor_all_phases,full_standard_plus_gcc,100,0.9667075163398692,0.0099009900990099,0.8884803921568627,0.0099009900990099,0.2328411779510316,0.0099009900990099,withGSR_4S156,with_GSR,4S156
prelor_vs_lor_task2,confounds_motion_propofol,100,0.9808,0.0099009900990099,0.98,0.0099009900990099,0.204285406101756,0.0099009900990099,withGSR_4S156,with_GSR,4S156
prelor_vs_lor_task2,standard_fc_plus_confounds,100,0.9856,0.0099009900990099,0.96,0.0099009900990099,0.1616943201057276,0.0099009900990099,withGSR_4S156,with_GSR,4S156
prelor_vs_lor_task2,gcc_core_plus_confounds,100,0.9824,0.0099009900990099,0.96,0.0099009900990099,0.1628628605616721,0.0099009900990099,withGSR_4S156,with_GSR,4S156
prelor_vs_lor_task2,gcc_regime_plus_confounds,100,0.9824,0.0099009900990099,0.96,0.0099009900990099,0.1667424279932242,0.0099009900990099,withGSR_4S156,with_GSR,4S156
prelor_vs_lor_task2,full_standard_plus_gcc,100,0.984,0.0099009900990099,0.96,0.0099009900990099,0.1708564008867899,0.0099009900990099,withGSR_4S156,with_GSR,4S156
lor_vs_ror_task3,confounds_motion_propofol,100,0.9556786703601108,0.0099009900990099,0.9210526315789472,0.0099009900990099,0.2625570451364868,0.0099009900990099,withGSR_4S156,with_GSR,4S156
lor_vs_ror_task3,standard_fc_plus_confounds,100,0.9667590027700832,0.0099009900990099,0.868421052631579,0.0099009900990099,0.2454036252619873,0.0099009900990099,withGSR_4S156,with_GSR,4S156
lor_vs_ror_task3,gcc_core_plus_confounds,100,0.9667590027700832,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.2285945985476473,0.0099009900990099,withGSR_4S156,with_GSR,4S156
lor_vs_ror_task3,gcc_regime_plus_confounds,100,0.9778393351800554,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.208955332225533,0.0099009900990099,withGSR_4S156,with_GSR,4S156
lor_vs_ror_task3,full_standard_plus_gcc,100,0.969529085872576,0.0099009900990099,0.8947368421052632,0.0099009900990099,0.2147197243203686,0.0099009900990099,withGSR_4S156,with_GSR,4S156
responsive_vs_lor_all_phases,confounds_motion_propofol,100,0.9675245098039216,0.0099009900990099,0.889093137254902,0.0099009900990099,0.2344014244692642,0.0099009900990099,withGSR_4S256,with_GSR,4S256
responsive_vs_lor_all_phases,standard_fc_plus_confounds,100,0.9671160130718954,0.0099009900990099,0.8936887254901961,0.0099009900990099,0.2340376838439796,0.0099009900990099,withGSR_4S256,with_GSR,4S256
responsive_vs_lor_all_phases,gcc_core_plus_confounds,100,0.9685457516339868,0.0099009900990099,0.8936887254901961,0.0099009900990099,0.2330809861172906,0.0099009900990099,withGSR_4S256,with_GSR,4S256
