band,target,n,baseline_mean,target_mean,mean_delta_baseline_minus_target,delta_ci_low,delta_ci_high,paired_d,ttest_p,wilcoxon_greater_p,auc_baseline_gt_target
alpha,mild,20,0.8275862068965516,0.7885057471264367,0.03908045977011493,0.003735632183908044,0.07529454022988492,0.46476985159201023,0.05145376852702043,0.033521173617510606,0.69625
alpha,moderate,20,0.8275862068965516,0.7091954022988505,0.1183908045977011,0.06810344827586205,0.1770114942528735,0.9197702173350255,0.000591457868242123,4.100799560546875e-05,0.9
alpha,recovery,20,0.8275862068965516,0.7580459770114942,0.06954022988505743,0.024999999999999988,0.11810344827586203,0.6332151292154923,0.010657480689474983,0.0037953753751246455,0.7
