band,target,n,baseline_mean,target_mean,mean_delta_baseline_minus_target,delta_ci_low,delta_ci_high,paired_d,ttest_p,wilcoxon_greater_p,auc_baseline_gt_target
gamma,mild,20,0.8275862068965516,0.7241379310344828,0.10344827586206898,0.0640732758620689,0.15114942528735634,1.0093898773656798,0.000237449586526418,0.00024916395426432755,0.81625
gamma,moderate,20,0.8275862068965516,0.6551724137931034,0.17241379310344826,0.11091235632183903,0.2333405172413792,1.1782242452684184,4.373265188257328e-05,0.00013065338134765625,0.76625
gamma,recovery,20,0.8275862068965516,0.6307471264367817,0.1968390804597701,0.1298850574712644,0.268103448275862,1.2164651147094168,3.0029401415417318e-05,7.754788639788509e-05,0.91625
