band,n,baseline_mean,moderate_mean,mean_delta_baseline_minus_moderate,delta_ci_low,delta_ci_high,paired_dz,wilcoxon_greater_p,ttest_p
alpha,20,0.8275862068965516,0.7810344827586206,0.04655172413793104,0.027586206896551706,0.06695402298850575,1.0253121323760075,0.00019397411363029134,0.00020206158978477556
gamma,20,0.8275862068965516,0.7933908045977012,0.03419540229885058,0.009770114942528774,0.059195402298850584,0.5853817079980272,0.009805758498581233,0.016925315375411823
