band,condition,n_subjects_with_repeats,mean_within_subject_sd,median_within_subject_sd,mean_within_subject_range,median_within_subject_range
alpha,sed,20,0.07341943003975557,0.05664088474339571,0.13228129395218008,0.09493670886075967
alpha,sed2,18,0.057207665425115226,0.049140674821151586,0.10414688192465966,0.09401709401709407
gamma,sed,20,0.113116329543372,0.07205192383679077,0.19747819971870612,0.12869198312236282
gamma,sed2,18,0.09159778856306894,0.03838337066348313,0.16350110794555248,0.07264957264957267
