subject,band,n_channels,R_min,D_min,D_max,M_min,M_max
1010,gamma,62,0.11933829192109846,3.215640242201229,5.053696257601666,0.0020081780090640813,0.00387366572620785
1016,gamma,62,0.1068169840592268,4.105595035830249,5.385339102646426,0.0009266432890956189,0.002134932201795264
1017,gamma,62,0.10814307218456103,4.404820620709031,5.926806340778143,0.0012859990718861712,0.0022904805012039153
1022,gamma,62,0.1091326392424489,4.364018387610462,5.3901857796995225,0.0011050190150635499,0.0020405440050002893
1024,gamma,62,0.11077454758197033,3.7586370870677217,4.7788573491726725,0.0014045146198045277,0.0023842162535432777
1033,gamma,62,0.11003267296847906,2.002655419484272,4.319771351501013,0.0009670313925919457,0.0018069116024814402
1036,gamma,62,0.11020034542953412,6.03686693494091,7.354928188659529,0.0008046486371041707,0.0013991424085820427
1037,gamma,62,0.10849797061486059,3.1204109816861316,4.1944907548853605,0.0011902877863308114,0.0024644617975059357
1045,gamma,62,0.10811543284475097,4.3731064041017325,5.029781091999102,0.0011626314035967798,0.0018498836653684416
1046,gamma,62,0.11067789194666293,3.238885006935515,4.335444381054129,0.0014163532444422238,0.0026504225996154614
1054,gamma,62,0.1123892645469771,6.406789937091138,7.814006747787377,0.0007202534715700472,0.0015034713616446926
1055,gamma,62,0.10557309767868966,4.2285876739404795,5.343116277516139,0.0012536948157571858,0.002224384730859173
1057,gamma,62,0.11052989629650159,5.286888184513641,6.484750112514554,0.0008909047746138424,0.0017753306533705437
1060,gamma,62,0.11035421357650574,3.833458007035218,5.8078997407272634,0.000933106204782541,0.0018696438742134476
1061,gamma,62,0.11191693986609295,5.100114614458552,7.121286773534832,0.0011545049678022958,0.0020102997649793326
1062,gamma,62,0.10359977132815754,4.170944094366163,4.896267461502684,0.0007394084741794664,0.0014299999179421229
1064,gamma,62,0.10691611071418491,3.717819595159469,4.779777965485928,0.0017169655691368453,0.002643834268919596
1067,gamma,62,0.11767275112426782,4.75016466169585,8.065801113467902,0.0007959411981679338,0.0033318884320003013
1068,gamma,62,0.11835319660819979,4.018690462827158,5.531584780914014,0.001542745461768837,0.003183528341075565
1071,gamma,62,0.11446047796050159,6.277315188972925,7.559791434178684,0.000640631490408113,0.0010788962631028687
1074,gamma,62,0.11756807615689796,4.354103855260473,5.800358736509952,0.0008378515177429153,0.0018591538994436694
