kind,target,n,awake_mean,target_mean,mean_delta_awake_minus_target,paired_d,ttest_p,wilcoxon_greater_p
original,sed,20,0.8312236286919831,0.5540787623066102,0.27714486638537267,1.3098591317185124,1.2156707888130582e-05,6.99728965542622e-05
original,sed2,20,0.8312236286919831,0.5071225071225072,0.32410112156947596,1.4662255931580144,2.8071045049172033e-06,6.67572021484375e-06
phase_surrogate,sed,20,0.8312236286919831,0.6002109704641351,0.23101265822784806,2.596216452108975,4.513390447423896e-10,9.5367431640625e-07
phase_surrogate,sed2,20,0.8312236286919831,0.5607312440645775,0.2704923846274056,2.5141893843006637,7.715091464172756e-10,4.4224575106059504e-05
