band,target,n,awake_mean,target_mean,mean_delta_awake_minus_target,delta_ci_low,delta_ci_high,paired_d,ttest_p,wilcoxon_greater_p,auc_awake_gt_target
gamma,sed,20,0.8275862068965516,0.5767241379310344,0.2508620689655172,0.1804597701149425,0.32184626436781594,1.4901612919510459,2.2556365778618192e-06,8.393524234826418e-05,0.9125
gamma,sed2,20,0.8275862068965516,0.5780701754385964,0.24951603145795515,0.1828383998790078,0.3179370840895341,1.5935513833551538,8.925809919639293e-07,6.99728965542622e-05,0.9
