band,target,n,awake_mean,target_mean,mean_delta_awake_minus_target,delta_ci_low,delta_ci_high,paired_d,ttest_p,wilcoxon_greater_p,auc_awake_gt_target
alpha,sed,20,0.8275862068965516,0.6936781609195402,0.13390804597701145,0.04971264367816087,0.22615660919540218,0.6406960278480626,0.009905267727417465,0.014475560927728675,0.7
alpha,sed2,20,0.8275862068965516,0.7109649122807016,0.11662129461584995,0.034165154264972776,0.2109305051421656,0.557555785985819,0.02204184313907585,0.028435696177413074,0.6
