band,target,n,awake_mean,target_mean,mean_delta_awake_minus_target,ci95_low,ci95_high,paired_d,ttest_p,wilcoxon_greater_p,auc
alpha,sed,20,0.8312236286919832,0.6549929676511955,0.1762306610407876,0.10414205344585085,0.24599331926863569,1.05442514630682,0.00015055239130254273,0.0001049041748046875,0.8
alpha,sed2,20,0.8312236286919832,0.6643874643874643,0.1668361643045187,0.09247362869198307,0.24134115005950446,0.9644202568790681,0.00037508758628396237,0.00035381317138671875,0.8
gamma,sed,20,0.8312236286919831,0.47151898734177217,0.3597046413502109,0.26300632911392396,0.4607718002812937,1.576082823672292,1.0418219769482473e-06,9.5367431640625e-07,1.0
gamma,sed2,20,0.8312236286919831,0.47578347578347574,0.35544015290850733,0.26312889934725375,0.4487521187204731,1.6295740247830282,6.506022356232222e-07,9.5367431640625e-07,1.0
