variant_id,nodes,input_edge_rows,self_loop_rows_excluded,duplicate_offdiag_rows_collapsed,edges,density,nonisolated_nodes,isolated_nodes,largest_component_nodes,component_count,degree_mean,degree_median,degree_max,strength_mean,strength_median,strength_max,edge_weight_mean,edge_weight_median,edge_weight_max,edge_confidence_mean,edge_confidence_median
brc_v3_20k_fibercount_conf50_default,1015,1000,11,0,989,0.0019218623993159801,480,535,467,540,1.9487684729064039,0.0,94,9.641379356384277,0.0,731.5,4.947421550750732,3.0,156.0,278.09100341796875,263.0
brc_v3_20k_fibercount_conf25,1015,4152,44,0,4108,0.007982821775925224,787,228,787,229,8.094581280788177,4.0,159,22.052217483520508,9.0,913.5,2.724318504333496,2.0,156.0,176.24342346191406,154.0
brc_v3_20k_fibercount_conf10,1015,11648,230,0,11418,0.022187891683912903,968,47,968,48,22.498522167487685,17.0,231,43.065025329589844,26.0,1028.5,1.9141268730163574,2.0,156.0,105.82168579101562,82.0
brc_v3_200k_fibercount_conf50,1015,4381,106,0,4275,0.008307342524849156,798,217,798,218,8.423645320197044,5.0,148,121.78620910644531,39.0,6754.5,14.457660675048828,8.0,1545.0,321.9284362792969,311.0
brc_v3_1m_fibercount_conf50,1015,7363,272,0,7091,0.013779500782153302,912,103,912,104,13.972413793103449,11.0,168,597.0797729492188,223.0,31908.5,42.73276138305664,19.0,7721.5,330.1369323730469,321.0
brc_v3_20k_electrical_conf50,1015,1000,11,0,989,0.0019218623993159801,480,535,467,540,1.9487684729064039,0.0,94,0.5088021755218506,0.0,32.13456344604492,0.2610890865325928,0.1851850003004074,7.212492942810059,278.09100341796875,263.0
