band,n,baseline_mean,moderate_mean,mean_delta_baseline_minus_moderate,delta_ci_low,delta_ci_high,paired_dz,wilcoxon_greater_p,ttest_p
alpha,1,0.8275862068965517,0.6896551724137931,0.13793103448275856,0.13793103448275856,0.13793103448275856,,0.5,
gamma,1,0.8275862068965516,0.7586206896551724,0.06896551724137923,0.06896551724137923,0.06896551724137923,,0.5,
