dataset,band,target,n,baseline_mean,target_mean,mean_delta_baseline_minus_target,delta_ci_low,delta_ci_high,paired_d,ttest_p,wilcoxon_greater_p
Chennu,alpha,moderate,20,0.8275862068965516,0.7117816091954021,0.11580459770114941,0.05114224137931032,0.18390804597701144,0.75890565166577,0.003046001334218649,0.001688682847214866
DS005620,alpha,sed,20,0.8275862068965516,0.5226652298850575,0.3049209770114943,0.2149293582375479,0.39324173850574695,1.471768226316806,2.6681080814957895e-06,6.01289103193523e-05
DS005620,alpha,sed2,20,0.8275862068965516,0.517749328275644,0.3098368786209077,0.21097322878686312,0.4016701921976422,1.365498582988629,7.164550933114971e-06,1.33514404296875e-05
Chennu,gamma,moderate,20,0.8275862068965516,0.6683908045977011,0.1591954022988506,0.09913793103448279,0.2169612068965517,1.1151980621627704,8.178388815335121e-05,0.00019741058349609375
DS005620,gamma,sed,20,0.8275862068965516,0.4349197796934865,0.39266642720306505,0.29375269396551723,0.4896575670498084,1.6645312928545986,4.802880018915055e-07,9.5367431640625e-07
DS005620,gamma,sed2,20,0.8275862068965516,0.49792555713608355,0.3296606497604682,0.2294886685687501,0.4270308982984799,1.404903208822745,4.950256301496032e-06,6.67572021484375e-06
